episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,571,61,72,500,500,3,15.87,5,3,1,0,1,0.371,3.00,1.00,2.22,0.484,0.7343,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,604,93,105,500,500,3,29.33,4,2,1,0,1,0.892,3.00,1.00,4.46,0.551,0.9160,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,434,28,481,481,0,deterministic,0,572,2,1
3,4003,1,success,590,84,91,500,500,3,34.67,3,2,1,1,0,0.860,3.00,1.00,4.24,0.518,0.8682,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,315,122,338,338,0,deterministic,0,1176,6,1
4,4004,1,success,590,76,91,500,500,3,18.70,5,3,1,1,0,0.441,3.00,1.00,3.08,0.767,0.7936,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,229,291,315,315,0,deterministic,0,1766,6,1
5,4005,1,success,591,76,92,500,500,3,19.65,4,3,1,1,0,0.457,3.00,1.00,3.69,0.647,0.7792,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,494,300,370,494,0,deterministic,0,2356,6,1
6,4006,1,success,588,82,89,500,500,3,23.41,4,3,1,0,0,0.679,3.00,1.00,3.43,0.548,0.8805,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,135,209,354,354,0,deterministic,0,2947,7,1
7,4007,1,success,601,93,102,500,500,3,27.97,4,3,1,1,0,0.710,3.00,1.00,2.99,0.546,0.9044,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,184,76,299,299,0,deterministic,0,3535,5,1
8,4008,1,success,602,87,103,500,500,3,30.53,4,3,1,1,0,0.700,3.00,1.00,2.76,0.450,0.9186,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,429,312,53,429,0,deterministic,0,4136,6,1
9,4009,1,success,597,91,98,500,500,3,28.23,4,3,1,1,0,0.709,3.00,1.00,3.01,0.623,0.9158,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,398,371,295,398,0,deterministic,0,4738,8,1
10,4010,1,success,593,76,94,500,500,3,40.09,4,3,1,1,0,0.969,3.00,1.00,3.38,0.589,0.7190,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,157,70,356,356,0,deterministic,0,5335,5,1
11,4011,1,success,597,85,98,500,500,3,8.96,3,2,1,1,0,0.203,3.00,1.00,3.72,0.502,0.9080,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,480,443,89,480,0,deterministic,0,5928,8,1
12,4012,1,success,589,85,90,500,500,3,9.90,3,2,1,1,0,0.274,3.00,1.00,3.87,0.472,0.8773,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,470,397,275,470,0,deterministic,0,6525,5,1
13,4013,1,success,590,81,91,500,500,3,35.69,4,2,1,1,0,0.884,3.00,1.00,3.45,0.681,0.8646,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,133,2,333,333,0,deterministic,0,7114,4,1
14,4014,1,success,590,83,91,500,500,3,24.64,5,3,1,1,0,0.597,3.00,1.00,2.52,0.711,0.8579,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,31,221,173,221,0,deterministic,0,7704,4,1
15,4015,1,success,591,81,92,500,500,3,36.39,4,3,1,1,0,1.104,3.00,1.00,2.95,0.708,0.8854,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,57,218,446,446,0,deterministic,0,8294,4,1
16,4016,1,success,591,83,92,500,500,3,18.75,4,3,1,1,0,0.468,3.00,1.00,3.60,0.477,0.8720,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,293,462,127,462,0,deterministic,0,8885,5,1
17,4017,1,success,590,83,91,500,500,3,14.08,4,3,1,1,0,0.371,3.00,1.00,3.27,0.514,0.9113,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,437,320,378,437,0,deterministic,0,9476,6,1
18,4018,1,success,610,97,111,500,500,3,25.46,4,3,1,1,0,0.671,3.00,1.00,2.77,0.616,0.8937,0.10,0.200,1.00,0.00,1.010,0.945,0.898,1.082,0.955,1.170,1.433,0.587,1.330,12,01111111111101,0.978,10.0,240,420,162,420,0,deterministic,0,10066,6,1
