episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,584,77,85,500,500,3,15.87,5,2,1,1,0,0.371,3.00,1.00,2.77,3.759,0.8005,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,600,88,101,500,500,3,29.33,6,2,1,1,0,0.892,3.00,1.00,2.86,4.055,0.9252,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,434,28,481,481,0,deterministic,0,585,5,1
3,4003,1,success,589,79,90,500,500,3,34.67,6,3,1,1,0,0.860,3.00,1.00,2.36,4.148,0.8815,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,315,122,338,338,0,deterministic,0,1185,5,1
4,4004,1,success,577,69,78,500,500,3,18.70,6,3,1,1,0,0.441,3.00,1.00,2.81,4.223,0.8072,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,229,291,315,315,0,deterministic,0,1774,4,1
5,4005,1,success,585,77,86,500,500,3,19.65,6,2,1,1,0,0.457,3.00,1.00,3.20,4.132,0.7833,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,494,300,370,494,0,deterministic,0,2351,1,1
6,4006,1,success,588,76,89,500,500,3,23.41,6,2,1,1,0,0.679,3.00,1.00,2.56,4.171,0.9025,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,135,209,354,354,0,deterministic,0,2936,6,1
7,4007,1,success,599,90,100,500,500,3,27.97,6,2,1,1,0,0.710,3.00,1.00,3.07,3.857,0.9186,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,184,76,299,299,0,deterministic,0,3524,4,1
8,4008,1,success,593,87,94,500,500,3,30.53,6,2,1,1,0,0.700,3.00,1.00,2.56,3.945,0.9290,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,429,312,53,429,0,deterministic,0,4123,3,1
9,4009,1,success,598,89,99,500,500,3,28.23,6,3,1,1,0,0.709,3.00,1.00,2.43,3.835,0.9254,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,398,371,295,398,0,deterministic,0,4716,6,1
10,4010,1,success,584,72,85,500,500,3,40.09,7,3,1,1,0,0.969,3.00,1.00,3.10,4.354,0.7904,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,157,70,356,356,0,deterministic,0,5314,4,1
11,4011,1,success,586,81,87,500,500,3,8.96,5,2,1,1,0,0.203,3.00,1.00,2.33,2.886,0.9216,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,480,443,89,480,0,deterministic,0,5898,8,1
12,4012,1,success,591,80,92,500,500,3,9.90,6,2,1,1,0,0.274,3.00,1.00,3.21,3.603,0.9012,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,470,397,275,470,0,deterministic,0,6484,4,1
13,4013,1,success,580,70,81,500,500,3,35.69,6,2,1,1,0,0.884,3.00,1.00,5.14,3.558,0.9121,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,133,2,333,333,0,deterministic,0,7075,5,1
14,4014,1,success,587,82,88,500,500,3,17.37,6,3,1,1,0,0.597,3.00,1.00,2.41,3.907,0.8787,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,468,24,148,468,0,deterministic,0,7655,5,1
