episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,593,88,94,500,500,3,10.58,7,3,1,1,0,0.742,1.00,1.00,3.33,3.338,0.7782,0.10,0.200,1.00,0.00,1.018,0.932,1.169,0.845,1.042,1.101,1.480,0.584,1.280,10,10011110101111,0.973,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,591,85,92,500,500,3,19.55,6,3,1,1,0,1.784,1.00,1.00,2.35,3.021,0.9271,0.10,0.200,1.00,0.00,1.018,0.932,1.169,0.845,1.042,1.101,1.480,0.584,1.280,10,10011110101111,0.973,10.0,434,28,481,481,0,deterministic,0,594,4,1
3,4003,1,success,588,83,89,500,500,3,23.11,7,3,1,1,0,1.720,1.00,1.00,2.91,3.238,0.8873,0.10,0.200,1.00,0.00,1.018,0.932,1.169,0.845,1.042,1.101,1.480,0.584,1.280,10,10011110101111,0.973,10.0,315,122,338,338,0,deterministic,0,1185,5,1
4,4004,1,success,580,77,81,500,500,3,12.47,6,2,1,1,0,0.882,1.00,1.00,2.95,3.171,0.7849,0.10,0.200,1.00,0.00,1.018,0.932,1.169,0.845,1.042,1.101,1.480,0.584,1.280,10,10011110101111,0.973,10.0,229,291,315,315,0,deterministic,0,1773,3,1
5,4005,1,success,590,82,91,500,500,3,13.10,6,2,1,1,0,0.914,1.00,1.00,3.35,3.717,0.8065,0.10,0.200,1.00,0.00,1.018,0.932,1.169,0.845,1.042,1.101,1.480,0.584,1.280,10,10011110101111,0.973,10.0,494,300,370,494,0,deterministic,0,2353,3,1
6,4006,1,success,590,86,91,500,500,3,15.61,5,2,1,1,0,1.358,1.00,1.00,2.97,3.984,0.9115,0.10,0.200,1.00,0.00,1.018,0.932,1.169,0.845,1.042,1.101,1.480,0.584,1.280,10,10011110101111,0.973,10.0,135,209,354,354,0,deterministic,0,2943,3,1
7,4007,1,success,602,92,103,500,500,3,18.65,7,3,1,1,0,1.420,1.00,1.00,2.04,3.214,0.9197,0.10,0.200,1.00,0.00,1.018,0.932,1.169,0.845,1.042,1.101,1.480,0.584,1.280,10,10011110101111,0.973,10.0,184,76,299,299,0,deterministic,0,3533,3,1
8,4008,1,success,605,98,106,500,500,3,20.35,6,3,1,1,0,1.399,1.00,1.00,3.12,2.649,0.9316,0.10,0.200,1.00,0.00,1.018,0.932,1.169,0.845,1.042,1.101,1.480,0.584,1.280,10,10011110101111,0.973,10.0,429,312,53,429,0,deterministic,0,4135,5,1
9,4009,1,success,593,87,94,500,500,3,18.82,6,2,1,1,0,1.418,1.00,1.00,2.87,3.109,0.9252,0.10,0.200,1.00,0.00,1.018,0.932,1.169,0.845,1.042,1.101,1.480,0.584,1.280,10,10011110101111,0.973,10.0,398,371,295,398,0,deterministic,0,4740,0,1
10,4010,1,success,582,73,83,500,500,3,26.73,7,3,1,1,0,1.939,1.00,1.00,2.59,3.576,0.7879,0.10,0.200,1.00,0.00,1.018,0.932,1.169,0.845,1.042,1.101,1.480,0.584,1.280,10,10011110101111,0.973,10.0,157,70,356,356,0,deterministic,0,5333,3,1
