episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,582,71,83,500,500,3,5.29,5,2,1,1,0,0.371,1.00,1.00,4.99,5.060,0.7730,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,595,85,96,500,500,3,9.78,6,2,1,1,0,0.892,1.00,1.00,2.99,4.743,0.9150,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,434,28,481,481,0,deterministic,0,583,3,1
3,4003,1,success,587,77,88,500,500,3,11.56,6,2,1,1,0,0.860,1.00,1.00,4.11,5.135,0.8729,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,315,122,338,338,0,deterministic,0,1178,8,1
4,4004,1,success,580,68,81,500,500,3,6.23,5,2,1,1,0,0.441,1.00,1.00,3.33,5.006,0.7916,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,229,291,315,315,0,deterministic,0,1765,5,1
5,4005,1,success,579,75,80,500,500,3,6.55,5,2,1,1,0,0.457,1.00,1.00,2.92,4.987,0.7812,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,494,300,370,494,0,deterministic,0,2345,5,1
6,4006,1,success,589,83,90,500,500,3,7.80,5,2,1,1,0,0.679,1.00,1.00,4.37,5.214,0.8900,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,135,209,354,354,0,deterministic,0,2924,4,1
7,4007,1,success,602,96,103,500,500,3,9.32,6,2,1,1,0,0.710,1.00,1.00,3.02,4.901,0.9038,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,184,76,299,299,0,deterministic,0,3513,3,1
8,4008,1,success,603,89,104,500,500,3,10.18,7,3,1,1,0,0.700,1.00,1.00,3.65,4.891,0.9211,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,429,312,53,429,0,deterministic,0,4115,5,1
9,4009,1,success,598,87,99,500,500,3,9.41,6,2,1,0,0,0.709,1.00,1.00,4.25,4.828,0.9151,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,398,371,295,398,0,deterministic,0,4718,8,1
10,4010,1,success,585,71,86,500,500,3,13.36,5,2,1,1,0,0.969,1.00,1.00,4.80,5.494,0.7523,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,157,70,356,356,0,deterministic,0,5316,6,1
11,4011,1,success,594,88,95,500,500,3,2.99,6,2,1,1,0,0.203,1.00,1.00,4.13,4.378,0.9052,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,480,443,89,480,0,deterministic,0,5901,1,1
12,4012,1,success,589,80,90,500,500,3,3.30,5,2,1,1,0,0.274,1.00,1.00,3.27,4.880,0.8881,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,470,397,275,470,0,deterministic,0,6495,5,1
13,4013,1,success,581,74,82,500,500,3,11.90,6,2,1,1,0,0.884,1.00,1.00,3.00,4.455,0.8982,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,133,2,333,333,0,deterministic,0,7084,4,1
14,4014,1,success,590,77,91,500,500,3,5.79,6,2,1,1,0,0.597,1.00,1.00,4.89,5.073,0.8686,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,468,24,148,468,0,deterministic,0,7665,5,1
15,4015,1,success,583,73,84,500,500,3,12.13,5,2,1,1,0,1.104,1.00,1.00,3.44,5.157,0.8942,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,57,218,446,446,0,deterministic,0,8255,5,1
16,4016,1,success,586,81,87,500,500,3,6.25,5,2,1,1,0,0.468,1.00,1.00,4.40,4.920,0.8743,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,293,462,127,462,0,deterministic,0,8838,8,1
17,4017,1,success,592,84,93,500,500,3,4.69,5,2,1,1,0,0.371,1.00,1.00,5.87,5.036,0.9105,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,437,320,378,437,0,deterministic,0,9424,4,1
18,4018,1,success,598,91,99,500,500,3,8.49,7,3,1,1,0,0.671,1.00,1.00,2.94,4.884,0.8899,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,240,420,162,420,0,deterministic,0,10016,6,1
19,4019,1,success,594,87,95,500,500,3,6.45,6,2,1,1,0,0.561,1.00,1.00,2.72,4.792,0.9139,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,288,413,489,489,0,deterministic,0,10614,4,1
20,4020,1,success,577,68,78,500,500,3,6.69,6,2,1,1,0,0.481,1.00,1.00,4.02,4.935,0.8672,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,17,432,493,493,0,deterministic,0,11208,8,1
21,4021,1,success,580,69,81,500,500,3,6.57,5,2,1,1,0,0.571,1.00,1.00,3.37,5.333,0.7988,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,404,411,488,488,0,deterministic,0,11785,5,1
22,4022,1,success,588,76,89,500,500,3,10.54,5,2,1,1,0,1.041,1.00,1.00,4.19,5.060,0.8825,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,281,218,208,281,0,deterministic,0,12365,5,1
23,4023,1,success,584,72,85,500,500,3,4.38,5,2,1,1,0,0.307,1.00,1.00,5.37,5.962,0.8719,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,124,428,30,428,0,deterministic,0,12953,3,1
24,4024,1,success,605,104,106,500,500,3,2.87,3,1,1,1,0,0.202,1.00,1.00,6.82,3.939,0.8313,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,208,99,454,454,0,deterministic,0,13537,7,1
25,4025,1,success,600,94,101,500,500,3,14.86,5,2,1,1,0,1.430,1.00,1.00,4.08,4.893,0.9139,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,494,409,111,494,0,deterministic,0,14142,2,1
26,4026,1,success,622,118,123,500,500,3,11.80,5,2,1,1,0,1.064,1.00,1.00,3.21,5.249,0.8795,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,126,325,433,433,0,deterministic,0,14742,2,1
27,4027,1,success,611,98,112,500,500,3,6.47,6,2,1,1,0,0.481,1.00,1.00,4.04,4.827,0.8812,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,274,169,170,274,0,deterministic,0,15364,4,1
28,4028,1,success,580,73,81,500,500,3,10.02,5,2,1,1,0,0.713,1.00,1.00,3.83,4.779,0.8968,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,472,229,31,472,0,deterministic,0,15975,5,1
29,4029,1,success,590,80,91,500,500,3,13.45,6,2,1,1,0,0.991,1.00,1.00,4.20,4.926,0.9091,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,63,252,246,252,0,deterministic,0,16555,5,1
30,4030,1,success,590,80,91,500,500,3,3.73,5,2,1,1,0,0.272,1.00,1.00,4.15,5.236,0.8617,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,214,105,174,214,0,deterministic,0,17145,5,1
31,4031,1,success,607,96,108,500,500,3,3.16,6,2,1,1,0,0.320,1.00,1.00,4.54,4.420,0.9179,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,69,318,373,373,0,deterministic,0,17735,5,1
32,4032,1,success,593,80,94,500,500,3,8.97,7,3,1,1,0,0.905,1.00,1.00,2.85,4.835,0.8230,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,138,166,494,494,0,deterministic,0,18342,2,1
33,4033,1,success,592,78,93,500,500,3,17.36,5,2,1,1,0,1.373,1.00,1.00,4.69,5.152,0.9047,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,234,5,266,266,0,deterministic,0,18935,5,1
34,4034,1,success,576,67,77,500,500,3,3.05,5,2,1,1,0,0.224,1.00,1.00,3.34,4.966,0.8163,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,487,452,63,487,0,deterministic,0,19527,7,1
35,4035,1,success,583,76,84,500,500,3,5.31,6,2,1,1,0,0.404,1.00,1.00,3.50,4.880,0.8623,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,272,2,170,272,0,deterministic,0,20103,3,1
36,4036,1,success,579,66,80,500,500,3,5.70,5,2,1,1,0,0.431,1.00,1.00,4.50,5.335,0.7611,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,264,151,93,264,0,deterministic,0,20686,6,1
37,4037,1,success,589,81,90,500,500,3,15.66,6,2,1,1,0,1.232,1.00,1.00,3.23,5.042,0.8660,0.10,0.200,1.00,0.00,1.094,1.108,1.178,1.037,0.962,1.183,2.010,0.677,1.068,10,11111011100011,1.043,10.0,382,394,412,412,0,deterministic,0,21265,5,1
