episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,584,70,85,500,500,3,10.58,8,2,1,1,0,0.371,2.00,1.00,5.39,2.895,0.7755,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,592,82,93,500,500,3,19.55,6,2,1,1,0,0.892,2.00,1.00,4.07,3.079,0.9256,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,434,28,481,481,0,deterministic,0,585,5,1
3,4003,1,success,589,74,90,500,500,3,23.11,6,2,1,1,0,0.860,2.00,1.00,4.23,2.750,0.8960,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,315,122,338,338,0,deterministic,0,1177,7,1
4,4004,1,success,569,63,70,500,500,3,12.47,5,3,1,1,0,0.441,2.00,1.00,4.13,2.998,0.8283,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,229,291,315,315,0,deterministic,0,1766,6,1
5,4005,1,success,580,67,81,500,500,3,13.10,5,3,1,1,0,0.457,2.00,1.00,5.06,3.250,0.8209,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,494,300,370,494,0,deterministic,0,2335,5,1
6,4006,1,success,591,76,92,500,500,3,15.61,8,2,1,1,0,0.679,2.00,1.00,4.59,3.406,0.8928,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,135,209,354,354,0,deterministic,0,2915,5,1
7,4007,1,success,602,87,103,500,500,3,18.65,6,2,1,1,0,0.710,2.00,1.00,1.84,2.611,0.9252,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,184,76,299,299,0,deterministic,0,3506,6,1
8,4008,1,success,586,78,87,500,500,3,20.35,6,3,1,1,0,0.700,2.00,1.00,3.29,2.295,0.9394,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,429,312,53,429,0,deterministic,0,4108,8,1
9,4009,1,success,604,87,105,500,500,3,18.82,7,3,1,1,0,0.709,2.00,1.00,3.55,2.533,0.9309,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,398,371,295,398,0,deterministic,0,4694,4,1
10,4010,1,success,578,64,79,500,500,3,26.73,7,2,1,1,0,0.969,2.00,1.00,3.69,3.161,0.7858,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,157,70,356,356,0,deterministic,0,5298,8,1
11,4011,1,success,591,79,92,500,500,3,5.97,8,2,1,1,0,0.203,2.00,1.00,5.32,2.661,0.9157,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,480,443,89,480,0,deterministic,0,5876,6,1
12,4012,1,success,591,76,92,500,500,3,6.60,8,2,1,1,0,0.274,2.00,1.00,5.15,3.040,0.8928,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,470,397,275,470,0,deterministic,0,6467,7,1
13,4013,1,success,577,65,78,500,500,3,23.79,6,2,1,1,0,0.884,2.00,1.00,6.11,3.109,0.9089,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,133,2,333,333,0,deterministic,0,7058,8,1
14,4014,1,success,590,79,91,500,500,3,11.58,6,3,1,1,0,0.597,2.00,1.00,3.80,2.629,0.8949,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,468,24,148,468,0,deterministic,0,7635,5,1
15,4015,1,success,581,70,82,500,500,3,24.26,7,3,1,1,0,1.104,2.00,1.00,5.24,2.861,0.9061,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,57,218,446,446,0,deterministic,0,8225,5,1
16,4016,1,success,579,74,80,500,500,3,12.50,6,3,1,1,0,0.468,2.00,1.00,4.63,2.749,0.9006,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,293,462,127,462,0,deterministic,0,8806,6,1
