episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,584,78,85,500,500,3,21.15,7,3,1,1,0,0.742,2.00,1.00,3.51,4.359,0.7854,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,600,91,101,500,500,3,39.11,6,2,1,1,0,1.784,2.00,1.00,3.21,3.950,0.9196,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,434,28,481,481,0,deterministic,0,585,5,1
3,4003,1,success,589,79,90,500,500,3,46.22,6,2,1,1,0,1.720,2.00,1.00,2.57,4.197,0.8881,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,315,122,338,338,0,deterministic,0,1185,5,1
4,4004,1,success,581,70,82,500,500,3,24.94,6,2,1,1,0,0.882,2.00,1.00,3.25,4.032,0.8022,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,229,291,315,315,0,deterministic,0,1774,4,1
5,4005,1,success,581,70,82,500,500,3,26.20,6,3,1,1,0,0.914,2.00,1.00,3.31,4.563,0.8129,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,494,300,370,494,0,deterministic,0,2355,5,1
6,4006,1,success,589,79,90,500,500,3,31.21,6,2,1,1,0,1.358,2.00,1.00,3.80,4.174,0.9073,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,135,209,354,354,0,deterministic,0,2936,6,1
7,4007,1,success,600,94,101,500,500,3,37.29,6,2,1,1,0,1.420,2.00,1.00,4.17,3.963,0.9204,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,184,76,299,299,0,deterministic,0,3525,5,1
8,4008,1,success,599,88,100,500,500,3,40.70,6,2,1,1,0,1.399,2.00,1.00,2.26,3.941,0.9274,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,429,312,53,429,0,deterministic,0,4125,5,1
9,4009,1,success,601,93,102,500,500,3,37.64,6,2,1,1,0,1.418,2.00,1.00,2.78,3.936,0.9204,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,398,371,295,398,0,deterministic,0,4724,4,1
10,4010,1,success,585,75,86,500,500,3,53.46,7,2,1,1,0,1.939,2.00,1.00,3.12,4.334,0.7565,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,157,70,356,356,0,deterministic,0,5325,5,1
11,4011,1,success,585,81,86,500,500,3,11.94,5,2,1,1,0,0.406,2.00,1.00,2.27,3.142,0.9211,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,480,443,89,480,0,deterministic,0,5910,0,1
12,4012,1,success,588,78,89,500,500,3,13.20,6,2,1,1,0,0.548,2.00,1.00,3.25,4.201,0.8977,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,470,397,275,470,0,deterministic,0,6495,5,1
13,4013,1,success,583,76,84,500,500,3,47.58,6,3,1,1,0,1.767,2.00,1.00,3.08,3.852,0.8939,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,133,2,333,333,0,deterministic,0,7083,3,1
14,4014,1,success,588,77,89,500,500,3,23.16,7,3,1,1,0,1.194,2.00,1.00,2.36,4.160,0.8915,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,468,24,148,468,0,deterministic,0,7666,6,1
