episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,572,66,73,500,500,3,10.58,5,3,1,1,0,0.371,2.00,1.00,5.72,2.249,0.7929,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,590,86,91,500,500,3,19.55,6,3,1,1,0,0.892,2.00,1.00,4.06,2.097,0.9397,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,434,28,481,481,0,deterministic,0,573,3,1
3,4003,1,success,581,76,82,500,500,3,23.11,9,3,1,1,0,0.860,2.00,1.00,4.98,2.337,0.8902,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,315,122,338,338,0,deterministic,0,1163,3,1
4,4004,1,success,569,64,70,500,500,3,12.47,7,2,1,1,0,0.441,2.00,1.00,4.69,2.683,0.8005,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,229,291,315,315,0,deterministic,0,1744,4,1
5,4005,1,success,571,66,72,500,500,3,13.10,6,2,1,1,0,0.457,2.00,1.00,5.67,2.634,0.7978,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,494,300,370,494,0,deterministic,0,2313,3,1
6,4006,1,success,580,75,81,500,500,3,15.61,6,2,1,1,0,0.679,2.00,1.00,4.25,2.624,0.8998,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,135,209,354,354,0,deterministic,0,2884,4,1
7,4007,1,success,592,87,93,500,500,3,18.65,5,3,1,1,0,0.710,2.00,1.00,3.99,2.501,0.9264,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,184,76,299,299,0,deterministic,0,3464,4,1
8,4008,1,success,587,80,88,500,500,3,20.35,5,2,1,1,0,0.700,2.00,1.00,4.84,2.107,0.9336,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,429,312,53,429,0,deterministic,0,4056,6,1
9,4009,1,success,596,89,97,500,500,3,18.82,4,2,1,1,0,0.709,2.00,1.00,4.49,2.954,0.9369,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,398,371,295,398,0,deterministic,0,4643,3,1
10,4010,1,success,567,55,68,500,500,3,26.73,6,2,1,1,0,0.969,2.00,1.00,5.04,3.567,0.7900,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,157,70,356,356,0,deterministic,0,5239,9,1
11,4011,1,success,580,76,81,500,500,3,5.97,6,2,1,1,0,0.203,2.00,1.00,4.37,1.960,0.9174,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,480,443,89,480,0,deterministic,0,5806,6,1
12,4012,1,success,577,74,78,500,500,3,6.60,5,3,1,1,0,0.274,2.00,1.00,4.91,2.291,0.9084,0.10,0.200,1.00,0.00,0.949,1.152,0.817,0.967,0.865,0.943,1.310,0.610,1.263,13,10111111111111,1.060,10.0,470,397,275,470,0,deterministic,0,6386,6,1
