episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,584,73,85,500,500,3,10.58,6,2,1,1,0,0.742,1.00,1.00,1.71,4.365,0.7828,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,594,84,95,500,500,3,19.55,3,2,1,1,0,1.784,1.00,1.00,4.43,3.313,0.9119,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,434,28,481,481,0,deterministic,0,585,5,1
3,4003,1,success,578,71,79,500,500,3,23.11,7,2,1,1,0,1.720,1.00,1.00,2.93,3.129,0.8890,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,315,122,338,338,0,deterministic,0,1179,9,1
4,4004,1,success,579,65,80,500,500,3,12.47,6,2,1,1,0,0.882,1.00,1.00,3.66,4.236,0.8039,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,229,291,315,315,0,deterministic,0,1757,7,1
5,4005,1,success,580,67,81,500,500,3,13.10,6,2,1,1,0,0.914,1.00,1.00,3.64,4.379,0.7944,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,494,300,370,494,0,deterministic,0,2336,6,1
6,4006,1,success,589,82,90,500,500,3,15.61,8,4,1,1,0,1.358,1.00,1.00,4.33,3.612,0.9207,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,135,209,354,354,0,deterministic,0,2916,6,1
7,4007,1,success,601,88,102,500,500,3,18.65,7,2,1,1,0,1.420,1.00,1.00,2.59,3.232,0.9140,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,184,76,299,299,0,deterministic,0,3505,5,1
8,4008,1,success,591,84,92,500,500,3,20.35,6,2,1,1,0,1.399,1.00,1.00,3.71,3.558,0.9311,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,429,312,53,429,0,deterministic,0,4106,6,1
9,4009,1,success,599,85,100,500,500,3,18.82,7,2,1,1,0,1.418,1.00,1.00,2.49,2.923,0.9192,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,398,371,295,398,0,deterministic,0,4697,7,1
10,4010,1,success,588,71,89,500,500,3,26.73,5,3,1,1,0,1.939,1.00,1.00,4.07,4.227,0.8050,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,157,70,356,356,0,deterministic,0,5296,6,1
11,4011,1,success,596,91,97,500,500,3,5.97,6,2,1,1,0,0.406,1.00,1.00,2.53,4.067,0.9280,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,480,443,89,480,0,deterministic,0,5884,4,1
12,4012,1,success,586,73,87,500,500,3,6.60,6,2,1,1,0,0.548,1.00,1.00,3.87,4.189,0.8980,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,470,397,275,470,0,deterministic,0,6480,0,1
13,4013,1,success,579,69,80,500,500,3,23.79,6,2,1,1,0,1.767,1.00,1.00,3.54,3.151,0.9181,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,133,2,333,333,0,deterministic,0,7066,6,1
14,4014,1,success,589,83,90,500,500,3,11.58,5,2,1,1,0,1.194,1.00,1.00,3.90,4.486,0.8847,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,468,24,148,468,0,deterministic,0,7645,5,1
15,4015,1,success,585,74,86,500,500,3,24.26,3,2,1,1,0,2.207,1.00,1.00,4.02,3.996,0.9056,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,57,218,446,446,0,deterministic,0,8234,4,1
16,4016,1,success,588,82,89,500,500,3,12.50,5,2,1,1,0,0.936,1.00,1.00,4.01,3.851,0.8973,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,293,462,127,462,0,deterministic,0,8819,9,1
17,4017,1,success,593,88,94,500,500,3,9.39,5,2,1,1,0,0.741,1.00,1.00,4.12,3.671,0.9292,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,437,320,378,437,0,deterministic,0,9407,7,1
18,4018,1,success,594,90,95,500,500,3,16.97,7,3,1,1,0,1.342,1.00,1.00,3.54,3.437,0.9160,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,240,420,162,420,0,deterministic,0,10000,0,1
19,4019,1,success,601,93,102,500,500,3,12.90,6,2,1,1,0,1.122,1.00,1.00,4.34,3.885,0.9127,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,288,413,489,489,0,deterministic,0,10594,4,1
20,4020,1,success,581,72,82,500,500,3,13.38,6,2,1,1,0,0.963,1.00,1.00,3.58,3.429,0.8863,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,17,432,493,493,0,deterministic,0,11195,5,1
21,4021,1,success,580,65,81,500,500,3,13.14,8,4,1,1,0,1.143,1.00,1.00,4.26,3.179,0.8340,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,404,411,488,488,0,deterministic,0,11776,6,1
22,4022,1,success,592,81,93,500,500,3,21.08,5,2,1,1,0,2.082,1.00,1.00,4.81,3.325,0.9003,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,281,218,208,281,0,deterministic,0,12356,6,1
23,4023,1,success,579,68,80,500,500,3,8.77,7,2,1,1,0,0.615,1.00,1.00,4.76,4.314,0.8683,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,124,428,30,428,0,deterministic,0,12948,8,1
24,4024,1,success,578,68,79,500,500,3,5.74,6,2,1,1,0,0.405,1.00,1.00,3.92,4.421,0.8700,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,208,99,454,454,0,deterministic,0,13527,7,1
25,4025,1,success,591,80,92,500,500,3,29.72,5,2,1,1,0,2.860,1.00,1.00,4.86,4.989,0.9190,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,494,409,111,494,0,deterministic,0,14105,5,1
26,4026,1,success,583,71,84,500,500,3,26.64,6,3,1,1,0,2.129,1.00,1.00,4.16,4.937,0.8628,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,438,73,412,438,0,deterministic,0,14696,6,1
27,4027,1,success,611,107,112,500,500,3,12.94,5,2,1,1,0,0.963,1.00,1.00,4.71,4.490,0.9041,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,274,169,170,274,0,deterministic,0,15279,9,1
28,4028,1,success,598,87,99,500,500,3,20.03,5,2,1,1,0,1.425,1.00,1.00,3.67,3.208,0.8755,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,472,229,31,472,0,deterministic,0,15890,0,1
29,4029,1,success,590,73,91,500,500,3,26.89,6,2,1,1,0,1.981,1.00,1.00,3.78,3.465,0.9205,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,63,252,246,252,0,deterministic,0,16488,8,1
30,4030,1,success,587,73,88,500,500,3,7.46,8,2,1,1,0,0.544,1.00,1.00,3.70,4.233,0.8556,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,214,105,174,214,0,deterministic,0,17078,8,1
31,4031,1,success,603,89,104,500,500,3,6.32,6,2,1,1,0,0.640,1.00,1.00,4.01,4.164,0.9292,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,69,318,373,373,0,deterministic,0,17665,5,1
32,4032,1,success,598,89,99,500,500,3,19.68,6,2,1,1,0,1.810,1.00,1.00,4.04,3.405,0.9266,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,148,398,460,460,0,deterministic,0,18268,8,1
33,4033,1,success,592,76,93,500,500,3,34.71,7,2,1,1,0,2.746,1.00,1.00,3.99,5.841,0.9077,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,234,5,266,266,0,deterministic,0,18866,6,1
34,4034,1,success,637,123,138,500,500,3,6.11,6,3,1,1,0,0.449,1.00,1.00,5.20,4.051,0.8315,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,487,452,63,487,0,deterministic,0,19458,8,1
35,4035,1,success,586,82,87,500,500,3,10.93,5,2,1,1,0,0.809,1.00,1.00,3.45,3.644,0.8857,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,183,372,120,372,0,deterministic,0,20095,5,1
36,4036,1,success,596,87,97,500,500,3,11.40,8,4,1,1,0,0.862,1.00,1.00,4.72,3.658,0.7608,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,264,151,93,264,0,deterministic,0,20681,1,1
37,4037,0,drop,126,82,89,37,500,0,0.00,8,2,1,1,0,2.464,1.00,1.00,5.28,2.340,0.8591,0.10,0.148,0.00,-0.20,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,382,394,412,-1,0,deterministic,0,21277,7,1
38,4038,1,success,600,96,101,500,500,3,14.06,7,3,1,1,0,1.098,1.00,1.00,2.30,4.082,0.9399,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,209,222,259,259,0,deterministic,0,21403,3,1
39,4039,1,success,608,99,109,500,500,3,15.38,6,2,1,1,0,1.124,1.00,1.00,3.74,4.240,0.8841,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,82,39,354,354,0,deterministic,0,22003,3,1
40,4040,1,success,596,82,97,500,500,3,28.32,6,2,1,1,0,2.226,1.00,1.00,4.57,4.760,0.9032,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,105,207,350,350,0,deterministic,0,22611,1,1
41,4041,1,success,627,106,128,500,500,3,5.92,7,3,1,1,0,0.422,1.00,1.00,3.77,3.881,0.9145,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,185,288,486,486,0,deterministic,0,23207,7,1
42,4042,1,success,592,80,93,500,500,3,6.70,5,2,1,1,0,0.487,1.00,1.00,4.47,4.297,0.8708,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,191,448,429,448,0,deterministic,0,23834,4,1
43,4043,1,success,582,67,83,500,500,3,18.00,7,3,1,1,0,1.279,1.00,1.00,3.46,3.960,0.8958,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,174,268,50,268,0,deterministic,0,24426,6,1
44,4044,1,success,595,92,96,500,500,3,7.89,5,2,1,1,0,0.560,1.00,1.00,2.37,4.521,0.8812,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,231,299,406,406,0,deterministic,0,25008,8,1
45,4045,1,success,594,85,95,500,500,3,31.44,4,2,1,1,0,2.578,1.00,1.00,5.05,4.476,0.9052,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,64,267,492,492,0,deterministic,0,25603,3,1
46,4046,1,success,615,111,116,500,500,3,11.17,6,2,1,1,0,0.924,1.00,1.00,4.02,3.793,0.9093,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,409,157,383,409,0,deterministic,0,26197,7,1
47,4047,1,success,584,69,85,500,500,3,8.00,7,2,1,1,0,0.561,1.00,1.00,3.28,4.140,0.8856,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,46,91,375,375,0,deterministic,0,26812,2,1
48,4048,1,success,603,89,104,500,500,3,42.79,6,2,1,1,0,2.963,1.00,1.00,4.02,5.297,0.9359,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,430,461,150,461,0,deterministic,0,27396,6,1
49,4049,1,success,621,118,122,500,500,3,6.33,7,2,1,1,0,0.518,1.00,1.00,4.92,3.536,0.9355,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,382,118,302,382,0,deterministic,0,27999,9,1
50,4050,1,success,574,69,75,500,500,3,8.89,7,2,1,1,0,0.834,1.00,1.00,2.09,4.427,0.7764,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,12,280,209,280,0,deterministic,0,28620,0,1
51,4051,1,success,595,78,96,500,500,3,6.80,8,2,1,1,0,0.478,1.00,1.00,3.56,4.069,0.9106,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,323,299,353,353,0,deterministic,0,29194,4,1
52,4052,1,success,591,75,92,500,500,3,22.19,6,2,1,1,0,2.345,1.00,1.00,4.78,5.533,0.9011,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,143,426,199,426,0,deterministic,0,29789,9,1
53,4053,1,success,573,63,74,500,500,3,19.06,6,2,1,1,0,1.546,1.00,1.00,3.36,3.609,0.8695,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,54,65,299,299,0,deterministic,0,30380,0,1
54,4054,1,success,594,82,95,500,500,3,11.26,6,2,1,1,0,0.824,1.00,1.00,4.86,4.339,0.8270,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,212,84,308,308,0,deterministic,0,30953,3,1
55,4055,1,success,567,63,68,500,500,3,6.99,6,2,1,1,0,0.559,1.00,1.00,3.04,3.902,0.8565,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,244,424,100,424,0,deterministic,0,31547,7,1
56,4056,1,success,595,78,96,500,500,3,14.59,6,2,1,1,0,1.391,1.00,1.00,2.00,3.527,0.9269,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,354,138,271,354,0,deterministic,0,32114,4,1
57,4057,1,success,601,83,102,500,500,3,24.03,7,3,1,1,0,1.951,1.00,1.00,4.42,3.676,0.9155,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,269,192,239,269,0,deterministic,0,32709,9,1
58,4058,1,success,577,69,78,500,500,3,13.97,6,3,1,1,0,1.459,1.00,1.00,2.19,4.758,0.8042,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,196,82,23,196,0,deterministic,0,33310,0,1
59,4059,1,success,592,82,93,500,500,3,15.31,5,2,1,1,0,1.146,1.00,1.00,4.70,4.185,0.8593,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,480,45,29,480,0,deterministic,0,33887,7,1
60,4060,1,success,587,78,88,500,500,3,14.13,5,2,1,1,0,1.083,1.00,1.00,2.50,4.206,0.7937,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,452,333,338,452,0,deterministic,0,34479,9,1
61,4061,1,success,565,62,66,500,500,3,5.73,6,2,1,1,1,0.532,1.00,1.00,1.29,2.387,0.7837,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,224,102,29,224,0,deterministic,0,35066,6,1
62,4062,1,success,585,77,86,500,500,3,11.25,6,2,1,1,0,1.132,1.00,1.00,1.90,4.463,0.8169,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,28,487,154,487,0,deterministic,0,35631,1,1
63,4063,1,success,578,74,79,500,500,3,7.41,5,2,1,1,0,0.544,1.00,1.00,1.97,4.279,0.8268,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,221,302,291,302,0,deterministic,0,36216,6,1
64,4064,1,success,603,88,104,500,500,3,9.93,5,2,1,1,0,0.683,1.00,1.00,4.20,3.917,0.9143,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,338,481,367,481,0,deterministic,0,36794,4,1
65,4065,1,success,607,96,108,500,500,3,8.68,6,2,1,1,0,0.773,1.00,1.00,4.33,4.124,0.9166,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,297,486,311,486,0,deterministic,0,37397,7,1
66,4066,1,success,581,69,82,500,500,3,17.49,7,2,1,1,0,1.212,1.00,1.00,3.14,3.493,0.7760,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,338,453,234,453,0,deterministic,0,38004,4,1
67,4067,1,success,592,78,93,500,500,3,31.09,6,2,1,1,0,2.798,1.00,1.00,4.57,4.954,0.9089,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,247,2,148,247,0,deterministic,0,38585,5,1
68,4068,1,success,606,103,107,500,500,3,7.28,5,1,1,1,0,0.526,1.00,1.00,4.17,4.121,0.9028,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,350,168,272,350,0,deterministic,0,39177,7,1
69,4069,1,success,582,75,83,500,500,3,28.38,5,3,1,1,0,2.246,1.00,1.00,2.62,4.641,0.8878,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,366,334,332,366,0,deterministic,0,39783,3,1
70,4070,1,success,612,108,113,500,500,3,6.20,6,2,1,1,0,0.528,1.00,1.00,4.69,3.485,0.9137,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,353,232,87,353,0,deterministic,0,40365,5,1
71,4071,1,success,600,92,101,500,500,3,9.82,4,1,1,1,0,0.767,1.00,1.00,3.36,3.363,0.9155,0.10,0.200,1.00,0.00,1.048,1.102,0.968,1.064,1.066,1.037,1.624,0.606,1.421,11,11111101101011,1.041,10.0,52,466,434,466,0,deterministic,0,40977,7,1
