episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,583,73,84,500,500,3,5.29,6,3,1,1,0,0.371,1.00,1.00,4.14,2.523,0.8015,0.10,0.200,1.00,0.00,0.960,0.893,1.084,0.897,0.853,1.071,1.380,0.753,1.263,11,11010110111111,0.958,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,599,87,100,500,500,3,9.78,5,3,1,1,0,0.892,1.00,1.00,4.00,2.376,0.9435,0.10,0.200,1.00,0.00,0.960,0.893,1.084,0.897,0.853,1.071,1.380,0.753,1.263,11,11010110111111,0.958,10.0,434,28,481,481,0,deterministic,0,584,4,1
3,4003,1,success,582,76,83,500,500,3,11.56,6,3,1,1,0,0.860,1.00,1.00,4.05,2.534,0.8996,0.10,0.200,1.00,0.00,0.960,0.893,1.084,0.897,0.853,1.071,1.380,0.753,1.263,11,11010110111111,0.958,10.0,315,122,338,338,0,deterministic,0,1183,3,1
4,4004,1,success,578,67,79,500,500,3,6.23,6,2,1,1,0,0.441,1.00,1.00,3.87,2.172,0.8103,0.10,0.200,1.00,0.00,0.960,0.893,1.084,0.897,0.853,1.071,1.380,0.753,1.263,11,11010110111111,0.958,10.0,229,291,315,315,0,deterministic,0,1765,5,1
5,4005,1,success,571,66,72,500,500,3,6.55,7,3,1,1,0,0.457,1.00,1.00,3.77,2.321,0.8241,0.10,0.200,1.00,0.00,0.960,0.893,1.084,0.897,0.853,1.071,1.380,0.753,1.263,11,11010110111111,0.958,10.0,494,300,370,494,0,deterministic,0,2343,3,1
6,4006,1,success,580,74,81,500,500,3,7.80,7,2,1,1,0,0.679,1.00,1.00,4.14,2.254,0.9068,0.10,0.200,1.00,0.00,0.960,0.893,1.084,0.897,0.853,1.071,1.380,0.753,1.263,11,11010110111111,0.958,10.0,135,209,354,354,0,deterministic,0,2914,4,1
7,4007,1,success,600,93,101,500,500,3,9.32,7,4,1,1,0,0.710,1.00,1.00,4.67,2.438,0.9329,0.10,0.200,1.00,0.00,0.960,0.893,1.084,0.897,0.853,1.071,1.380,0.753,1.263,11,11010110111111,0.958,10.0,184,76,299,299,0,deterministic,0,3494,4,1
8,4008,1,success,591,84,92,500,500,3,10.18,6,3,1,1,0,0.700,1.00,1.00,4.12,2.678,0.9390,0.10,0.200,1.00,0.00,0.960,0.893,1.084,0.897,0.853,1.071,1.380,0.753,1.263,11,11010110111111,0.958,10.0,429,312,53,429,0,deterministic,0,4094,4,1
9,4009,1,success,599,94,100,500,500,3,9.41,5,2,1,1,0,0.709,1.00,1.00,4.45,2.923,0.9371,0.10,0.200,1.00,0.00,0.960,0.893,1.084,0.897,0.853,1.071,1.380,0.753,1.263,11,11010110111111,0.958,10.0,398,371,295,398,0,deterministic,0,4685,5,1
10,4010,1,success,592,83,93,500,500,3,13.36,6,3,1,1,0,0.969,1.00,1.00,5.22,3.885,0.7900,0.10,0.200,1.00,0.00,0.960,0.893,1.084,0.897,0.853,1.071,1.380,0.753,1.263,11,11010110111111,0.958,10.0,157,70,356,356,0,deterministic,0,5284,4,1
