episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,584,70,85,500,500,3,15.87,8,2,1,1,0,0.371,3.00,1.00,5.39,2.819,0.7770,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,603,87,104,500,500,3,29.33,4,2,1,1,0,0.892,3.00,1.00,3.85,2.712,0.9312,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,434,28,481,481,0,deterministic,0,585,5,1
3,4003,1,success,577,72,78,500,500,3,34.67,6,3,1,1,0,0.860,3.00,1.00,3.36,2.903,0.8983,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,315,122,338,338,0,deterministic,0,1188,8,1
4,4004,1,success,570,65,71,500,500,3,18.70,9,3,1,1,0,0.441,3.00,1.00,5.29,2.979,0.8038,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,229,291,315,315,0,deterministic,0,1765,5,1
5,4005,1,success,581,66,82,500,500,3,19.65,5,2,1,1,0,0.457,3.00,1.00,4.58,2.643,0.8244,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,494,300,370,494,0,deterministic,0,2335,5,1
6,4006,1,success,580,73,81,500,500,3,23.41,8,2,1,1,0,0.679,3.00,1.00,5.05,2.850,0.8991,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,135,209,354,354,0,deterministic,0,2916,6,1
7,4007,1,success,590,84,91,500,500,3,27.97,5,3,1,1,0,0.710,3.00,1.00,3.98,2.610,0.9305,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,184,76,299,299,0,deterministic,0,3496,6,1
8,4008,1,success,588,81,89,500,500,3,30.53,7,3,1,1,0,0.700,3.00,1.00,3.43,2.364,0.9380,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,429,312,53,429,0,deterministic,0,4086,6,1
9,4009,1,success,592,86,93,500,500,3,28.23,6,4,1,1,0,0.709,3.00,1.00,2.89,2.636,0.9340,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,398,371,295,398,0,deterministic,0,4674,4,1
10,4010,1,success,579,66,80,500,500,3,40.09,8,2,1,1,0,0.969,3.00,1.00,2.07,3.174,0.7717,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,157,70,356,356,0,deterministic,0,5266,6,1
