episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,605,90,106,500,500,3,10.58,4,3,1,1,0,0.742,1.00,1.00,4.31,0.324,0.7110,0.10,0.200,1.00,0.00,1.059,1.121,0.952,1.111,1.102,1.011,1.119,0.620,1.369,11,11111101111001,1.048,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,609,91,110,500,500,3,19.55,4,2,1,1,1,1.784,1.00,1.00,2.66,0.496,0.8541,0.10,0.200,1.00,0.00,1.059,1.121,0.952,1.111,1.102,1.011,1.119,0.620,1.369,11,11111101111001,1.048,10.0,434,28,481,481,0,deterministic,0,606,6,1
3,4003,1,success,605,94,106,500,500,3,23.11,3,2,1,1,0,1.720,1.00,1.00,2.69,0.388,0.7888,0.10,0.200,1.00,0.00,1.059,1.121,0.952,1.111,1.102,1.011,1.119,0.620,1.369,11,11111101111001,1.048,10.0,315,122,338,338,0,deterministic,0,1215,5,1
4,4004,1,success,587,80,88,500,500,3,12.47,3,2,1,1,0,0.882,1.00,1.00,2.95,0.346,0.6905,0.10,0.200,1.00,0.00,1.059,1.121,0.952,1.111,1.102,1.011,1.119,0.620,1.369,11,11111101111001,1.048,10.0,229,291,315,315,0,deterministic,0,1820,0,1
5,4005,1,success,596,75,97,500,500,3,13.10,4,3,1,1,0,0.914,1.00,1.00,3.60,0.348,0.7452,0.10,0.200,1.00,0.00,1.059,1.121,0.952,1.111,1.102,1.011,1.119,0.620,1.369,11,11111101111001,1.048,10.0,494,300,370,494,0,deterministic,0,2407,7,1
6,4006,1,success,603,96,104,500,500,3,15.61,3,2,1,1,0,1.358,1.00,1.00,3.18,0.370,0.8300,0.10,0.200,1.00,0.00,1.059,1.121,0.952,1.111,1.102,1.011,1.119,0.620,1.369,11,11111101111001,1.048,10.0,135,209,354,354,0,deterministic,0,3003,3,1
7,4007,1,success,617,99,118,500,500,3,18.65,3,2,1,0,0,1.420,1.00,1.00,3.15,0.435,0.8565,0.10,0.200,1.00,0.00,1.059,1.121,0.952,1.111,1.102,1.011,1.119,0.620,1.369,11,11111101111001,1.048,10.0,184,76,299,299,0,deterministic,0,3606,6,1
8,4008,1,success,621,113,122,500,500,3,20.35,4,2,1,1,0,1.399,1.00,1.00,3.38,0.398,0.8718,0.10,0.200,1.00,0.00,1.059,1.121,0.952,1.111,1.102,1.011,1.119,0.620,1.369,11,11111101111001,1.048,10.0,429,312,53,429,0,deterministic,0,4223,3,1
9,4009,1,success,622,101,123,500,500,3,18.82,3,2,1,0,1,1.418,1.00,1.00,3.76,0.360,0.8753,0.10,0.200,1.00,0.00,1.059,1.121,0.952,1.111,1.102,1.011,1.119,0.620,1.369,11,11111101111001,1.048,10.0,398,371,295,398,0,deterministic,0,4844,4,1
10,4010,1,success,653,135,154,500,500,3,26.73,4,3,1,1,0,1.939,1.00,1.00,4.88,0.807,0.6208,0.10,0.200,1.00,0.00,1.059,1.121,0.952,1.111,1.102,1.011,1.119,0.620,1.369,11,11111101111001,1.048,10.0,157,70,356,356,0,deterministic,0,5466,6,1
