episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,584,71,85,500,500,3,7.93,7,2,1,1,0,0.371,1.50,1.00,3.23,4.508,0.7831,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,593,78,94,500,500,3,14.66,8,2,1,1,0,0.892,1.50,1.00,3.49,4.558,0.9183,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,434,28,481,481,0,deterministic,0,585,5,1
3,4003,1,success,577,72,78,500,500,3,17.33,6,2,1,1,0,0.860,1.50,1.00,3.81,4.518,0.8810,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,315,122,338,338,0,deterministic,0,1178,8,1
4,4004,1,success,580,66,81,500,500,3,9.35,7,2,1,1,0,0.441,1.50,1.00,3.21,4.748,0.8106,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,229,291,315,315,0,deterministic,0,1755,5,1
5,4005,1,success,579,71,80,500,500,3,9.82,7,2,1,1,0,0.457,1.50,1.00,3.01,5.013,0.7827,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,494,300,370,494,0,deterministic,0,2335,5,1
6,4006,1,success,581,76,82,500,500,3,11.71,7,2,1,1,0,0.679,1.50,1.00,3.24,4.162,0.8946,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,135,209,354,354,0,deterministic,0,2914,4,1
7,4007,1,success,592,85,93,500,500,3,13.98,9,3,1,1,0,0.710,1.50,1.00,3.13,4.404,0.9131,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,184,76,299,299,0,deterministic,0,3495,5,1
8,4008,1,success,590,78,91,500,500,3,15.26,7,3,1,1,0,0.700,1.50,1.00,3.36,3.158,0.9275,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,429,312,53,429,0,deterministic,0,4087,7,1
9,4009,1,success,589,83,90,500,500,3,14.12,6,2,1,1,0,0.709,1.50,1.00,3.84,4.319,0.9221,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,398,371,295,398,0,deterministic,0,4677,7,1
10,4010,1,success,571,64,72,500,500,3,20.05,7,2,1,1,0,0.969,1.50,1.00,2.99,5.132,0.7519,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,157,70,356,356,0,deterministic,0,5266,6,1
