episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,573,68,74,500,500,3,5.29,5,2,1,1,0,0.371,1.00,1.00,2.17,1.051,0.7814,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,592,82,93,500,500,3,9.78,5,3,1,1,0,0.892,1.00,1.00,2.78,1.652,0.9139,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,434,28,481,481,0,deterministic,0,574,4,1
3,4003,1,success,586,75,87,500,500,3,11.56,5,2,1,1,0,0.860,1.00,1.00,3.08,1.546,0.8805,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,315,122,338,338,0,deterministic,0,1166,6,1
4,4004,1,success,582,70,83,500,500,3,6.23,5,2,1,1,0,0.441,1.00,1.00,3.48,1.369,0.7948,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,229,291,315,315,0,deterministic,0,1752,2,1
5,4005,1,success,570,66,71,500,500,3,6.55,6,2,1,1,0,0.457,1.00,1.00,3.50,1.355,0.7985,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,494,300,370,494,0,deterministic,0,2334,4,1
6,4006,1,success,591,83,92,500,500,3,7.80,6,2,1,1,0,0.679,1.00,1.00,2.98,1.587,0.8862,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,135,209,354,354,0,deterministic,0,2904,4,1
7,4007,1,success,598,89,99,500,500,3,9.32,5,2,1,1,0,0.710,1.00,1.00,2.37,1.517,0.9137,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,184,76,299,299,0,deterministic,0,3495,5,1
8,4008,1,success,591,85,92,500,500,3,10.18,5,2,1,1,0,0.700,1.00,1.00,3.87,1.512,0.9226,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,429,312,53,429,0,deterministic,0,4093,3,1
9,4009,1,success,591,86,92,500,500,3,9.41,5,2,1,1,0,0.709,1.00,1.00,4.37,1.399,0.9231,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,398,371,295,398,0,deterministic,0,4684,4,1
10,4010,1,success,571,59,72,500,500,3,13.36,3,2,1,1,0,0.969,1.00,1.00,3.32,1.482,0.7947,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,157,70,356,356,0,deterministic,0,5275,5,1
