episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,584,77,85,500,500,3,5.29,5,2,1,1,0,0.371,1.00,1.00,2.77,3.790,0.8000,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,600,88,101,500,500,3,9.78,7,2,1,1,0,0.892,1.00,1.00,3.68,4.237,0.9293,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,434,28,481,481,0,deterministic,0,585,5,1
3,4003,1,success,588,82,89,500,500,3,11.56,6,3,1,1,0,0.860,1.00,1.00,2.20,3.758,0.8807,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,315,122,338,338,0,deterministic,0,1185,5,1
4,4004,1,success,581,72,82,500,500,3,6.23,7,2,1,1,0,0.441,1.00,1.00,3.03,4.064,0.7964,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,229,291,315,315,0,deterministic,0,1773,3,1
5,4005,1,success,581,71,82,500,500,3,6.55,6,2,1,1,0,0.457,1.00,1.00,3.07,4.249,0.8044,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,494,300,370,494,0,deterministic,0,2354,4,1
6,4006,1,success,590,77,91,500,500,3,7.80,6,2,1,1,0,0.679,1.00,1.00,3.55,4.392,0.9115,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,135,209,354,354,0,deterministic,0,2935,5,1
7,4007,1,success,599,91,100,500,500,3,9.32,6,3,1,1,0,0.710,1.00,1.00,2.36,3.653,0.9209,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,184,76,299,299,0,deterministic,0,3525,5,1
8,4008,1,success,601,92,102,500,500,3,10.18,6,2,1,1,0,0.700,1.00,1.00,4.59,3.889,0.9332,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,429,312,53,429,0,deterministic,0,4124,4,1
9,4009,1,success,607,98,108,500,500,3,9.41,7,3,1,1,0,0.709,1.00,1.00,2.51,3.617,0.9250,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,398,371,295,398,0,deterministic,0,4725,5,1
10,4010,1,success,585,74,86,500,500,3,13.36,7,2,1,1,0,0.969,1.00,1.00,3.11,4.245,0.7808,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,157,70,356,356,0,deterministic,0,5332,2,1
11,4011,1,success,587,82,88,500,500,3,2.99,5,2,1,1,0,0.203,1.00,1.00,2.99,2.765,0.9210,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,480,443,89,480,0,deterministic,0,5917,7,1
12,4012,1,success,599,88,100,500,500,3,3.30,6,2,1,1,0,0.274,1.00,1.00,3.69,3.939,0.8991,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,470,397,275,470,0,deterministic,0,6504,4,1
13,4013,1,success,588,79,89,500,500,3,11.90,5,2,1,1,0,0.884,1.00,1.00,3.21,3.980,0.9053,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,133,2,333,333,0,deterministic,0,7103,3,1
14,4014,1,success,592,81,93,500,500,3,5.79,5,2,1,1,0,0.597,1.00,1.00,2.17,3.503,0.8912,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,468,24,148,468,0,deterministic,0,7691,1,1
15,4015,1,success,594,82,95,500,500,3,12.13,6,2,1,1,0,1.104,1.00,1.00,4.31,4.102,0.9061,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,57,218,446,446,0,deterministic,0,8283,3,1
16,4016,1,success,588,76,89,500,500,3,6.25,7,2,1,1,0,0.468,1.00,1.00,2.04,4.115,0.8846,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,293,462,127,462,0,deterministic,0,8877,7,1
17,4017,1,success,590,76,91,500,500,3,4.69,6,2,1,1,0,0.371,1.00,1.00,3.26,4.038,0.9278,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,437,320,378,437,0,deterministic,0,9465,5,1
18,4018,1,success,599,89,100,500,500,3,8.49,6,2,1,1,0,0.671,1.00,1.00,2.78,4.584,0.9154,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,240,420,162,420,0,deterministic,0,10055,5,1
19,4019,1,success,591,85,92,500,500,3,6.45,7,2,1,1,0,0.561,1.00,1.00,5.70,3.980,0.9119,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,288,413,489,489,0,deterministic,0,10654,4,1
20,4020,1,success,590,76,91,500,500,3,6.69,7,3,1,1,0,0.481,1.00,1.00,2.97,4.036,0.8440,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,17,432,493,493,0,deterministic,0,11245,5,1
21,4021,1,success,580,73,81,500,500,3,6.57,6,3,1,1,0,0.571,1.00,1.00,3.32,4.203,0.8044,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,404,411,488,488,0,deterministic,0,11835,5,1
22,4022,1,success,590,80,91,500,500,3,10.54,6,2,1,1,0,1.041,1.00,1.00,2.45,4.114,0.8988,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,281,218,208,281,0,deterministic,0,12415,5,1
23,4023,1,success,578,72,79,500,500,3,4.38,7,2,1,1,0,0.307,1.00,1.00,3.42,4.158,0.8972,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,124,428,30,428,0,deterministic,0,13005,5,1
24,4024,1,success,580,75,81,500,500,3,2.87,5,2,1,1,0,0.202,1.00,1.00,2.52,4.085,0.8599,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,208,99,454,454,0,deterministic,0,13583,3,1
25,4025,1,success,592,87,93,500,500,3,14.86,7,3,1,1,0,1.430,1.00,1.00,2.56,3.969,0.9273,0.10,0.200,1.00,0.00,0.998,0.840,1.066,1.169,1.055,0.862,1.655,0.699,1.183,10,11110111001110,0.937,10.0,494,409,111,494,0,deterministic,0,14163,3,1
