episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,589,82,90,500,500,3,5.29,5,2,1,1,0,0.371,1.00,1.00,3.15,0.912,0.7975,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,587,74,88,500,500,3,9.78,4,2,1,1,0,0.892,1.00,1.00,2.09,1.407,0.9088,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,434,28,481,481,0,deterministic,0,590,0,1
3,4003,1,success,578,73,79,500,500,3,11.56,6,3,1,1,0,0.860,1.00,1.00,2.96,1.022,0.8850,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,315,122,338,338,0,deterministic,0,1177,7,1
4,4004,1,success,580,71,81,500,500,3,6.23,4,2,1,1,0,0.441,1.00,1.00,3.24,1.056,0.7957,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,229,291,315,315,0,deterministic,0,1755,5,1
5,4005,1,success,580,75,81,500,500,3,6.55,5,2,1,1,0,0.457,1.00,1.00,2.50,1.309,0.8240,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,494,300,370,494,0,deterministic,0,2335,5,1
6,4006,1,success,580,74,81,500,500,3,7.80,4,1,1,1,0,0.679,1.00,1.00,1.75,1.560,0.9037,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,135,209,354,354,0,deterministic,0,2915,5,1
7,4007,1,success,600,86,101,500,500,3,9.32,4,2,1,1,0,0.710,1.00,1.00,1.90,0.942,0.9000,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,184,76,299,299,0,deterministic,0,3495,5,1
8,4008,1,success,594,78,95,500,500,3,10.18,6,3,1,1,0,0.700,1.00,1.00,2.31,0.991,0.9300,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,429,312,53,429,0,deterministic,0,4095,5,1
9,4009,1,success,588,79,89,500,500,3,9.41,4,2,1,1,0,0.709,1.00,1.00,2.39,1.334,0.9213,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,398,371,295,398,0,deterministic,0,4689,9,1
10,4010,1,success,580,68,81,500,500,3,13.36,3,2,1,1,0,0.969,1.00,1.00,2.90,1.778,0.7431,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,157,70,356,356,0,deterministic,0,5277,7,1
11,4011,1,success,588,75,89,500,500,3,2.99,4,1,1,1,0,0.203,1.00,1.00,2.09,1.310,0.9236,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,480,443,89,480,0,deterministic,0,5857,7,1
12,4012,1,success,580,75,81,500,500,3,3.30,4,2,1,1,0,0.274,1.00,1.00,2.67,0.781,0.8904,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,470,397,275,470,0,deterministic,0,6445,5,1
13,4013,1,success,578,69,79,500,500,3,11.90,5,3,1,1,1,0.884,1.00,1.00,2.72,1.035,0.9039,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,133,2,333,333,0,deterministic,0,7025,5,1
14,4014,1,success,581,76,82,500,500,3,5.79,5,2,1,1,0,0.597,1.00,1.00,2.52,1.552,0.8781,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,468,24,148,468,0,deterministic,0,7603,3,1
15,4015,1,success,584,70,85,500,500,3,12.13,6,2,1,1,0,1.104,1.00,1.00,2.42,1.035,0.8709,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,57,218,446,446,0,deterministic,0,8184,4,1
16,4016,1,success,578,69,79,500,500,3,6.25,5,2,1,1,0,0.468,1.00,1.00,2.65,1.716,0.8915,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,293,462,127,462,0,deterministic,0,8768,8,1
17,4017,1,success,580,72,81,500,500,3,4.69,5,2,1,1,0,0.371,1.00,1.00,3.18,1.613,0.9275,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,437,320,378,437,0,deterministic,0,9346,6,1
18,4018,1,success,590,82,91,500,500,3,8.49,5,2,1,1,0,0.671,1.00,1.00,2.46,1.640,0.9090,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,240,420,162,420,0,deterministic,0,9926,6,1
19,4019,1,success,591,79,92,500,500,3,6.45,5,2,1,1,0,0.561,1.00,1.00,4.29,1.663,0.9152,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,288,413,489,489,0,deterministic,0,10516,6,1
20,4020,1,success,577,66,78,500,500,3,6.69,6,2,1,1,0,0.481,1.00,1.00,1.75,0.911,0.8500,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,17,432,493,493,0,deterministic,0,11107,7,1
21,4021,1,success,581,76,82,500,500,3,6.57,5,3,1,1,0,0.571,1.00,1.00,2.73,1.090,0.7962,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,404,411,488,488,0,deterministic,0,11684,4,1
22,4022,1,success,583,76,84,500,500,3,10.54,5,2,1,1,0,1.041,1.00,1.00,2.59,1.195,0.8983,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,281,218,208,281,0,deterministic,0,12265,5,1
23,4023,1,success,567,62,68,500,500,3,4.38,5,2,1,1,0,0.307,1.00,1.00,1.99,1.636,0.9063,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,124,428,30,428,0,deterministic,0,12848,8,1
24,4024,1,success,575,67,76,500,500,3,2.87,4,1,1,1,0,0.202,1.00,1.00,2.73,1.270,0.8841,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,208,99,454,454,0,deterministic,0,13415,5,1
25,4025,1,success,589,72,90,500,500,3,14.86,5,2,1,1,0,1.430,1.00,1.00,3.00,1.841,0.9231,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,494,409,111,494,0,deterministic,0,13990,0,1
26,4026,1,success,915,402,416,500,500,3,11.80,4,2,1,1,0,1.064,1.00,1.00,4.82,1.781,0.8927,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,126,325,433,433,0,deterministic,0,14579,9,1
27,4027,1,success,612,108,113,500,500,3,6.47,4,2,1,1,0,0.481,1.00,1.00,2.35,1.293,0.8893,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,274,169,170,274,0,deterministic,0,15494,4,1
28,4028,1,success,578,74,79,500,500,3,10.02,4,2,1,1,0,0.713,1.00,1.00,2.15,0.994,0.8831,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,472,229,31,472,0,deterministic,0,16106,6,1
29,4029,1,success,595,79,96,500,500,3,13.45,6,3,1,1,0,0.991,1.00,1.00,2.97,1.560,0.9101,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,63,252,246,252,0,deterministic,0,16684,4,1
30,4030,1,success,580,73,81,500,500,3,3.73,6,3,1,1,0,0.272,1.00,1.00,2.41,0.987,0.8731,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,214,105,174,214,0,deterministic,0,17279,9,1
31,4031,1,success,598,87,99,500,500,3,3.16,6,3,1,1,0,0.320,1.00,1.00,2.03,0.798,0.9299,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,69,318,373,373,0,deterministic,0,17859,9,1
32,4032,1,success,588,83,89,500,500,3,9.84,4,2,1,1,0,0.905,1.00,1.00,2.52,1.022,0.9120,0.10,0.200,1.00,0.00,0.999,1.109,0.939,0.848,1.016,1.086,1.498,0.642,1.304,10,01111011101011,1.043,10.0,148,398,460,460,0,deterministic,0,18457,7,1
