episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,584,70,85,500,500,3,5.29,8,2,1,1,0,0.371,1.00,1.00,5.39,2.890,0.7754,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,591,82,92,500,500,3,9.78,6,2,1,1,0,0.892,1.00,1.00,5.02,2.899,0.9311,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,434,28,481,481,0,deterministic,0,585,5,1
3,4003,1,success,590,75,91,500,500,3,11.56,6,2,1,1,0,0.860,1.00,1.00,3.97,2.640,0.8954,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,315,122,338,338,0,deterministic,0,1176,6,1
4,4004,1,success,569,64,70,500,500,3,6.23,7,2,1,1,0,0.441,1.00,1.00,5.27,2.766,0.8152,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,229,291,315,315,0,deterministic,0,1766,6,1
5,4005,1,success,580,68,81,500,500,3,6.55,5,2,1,1,0,0.457,1.00,1.00,4.00,2.630,0.8186,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,494,300,370,494,0,deterministic,0,2335,5,1
6,4006,1,success,591,76,92,500,500,3,7.80,6,2,1,1,0,0.679,1.00,1.00,5.65,3.075,0.9051,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,135,209,354,354,0,deterministic,0,2915,5,1
7,4007,1,success,590,84,91,500,500,3,9.32,7,3,1,1,0,0.710,1.00,1.00,3.55,2.287,0.9282,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,184,76,299,299,0,deterministic,0,3506,6,1
8,4008,1,success,588,81,89,500,500,3,10.18,7,3,1,1,0,0.700,1.00,1.00,3.81,2.383,0.9366,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,429,312,53,429,0,deterministic,0,4096,6,1
9,4009,1,success,605,87,106,500,500,3,9.41,5,3,1,1,0,0.709,1.00,1.00,3.86,2.663,0.9371,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,398,371,295,398,0,deterministic,0,4684,4,1
10,4010,1,success,577,62,78,500,500,3,13.36,8,2,1,1,0,0.969,1.00,1.00,1.71,3.430,0.7759,0.10,0.200,1.00,0.00,1.016,1.068,1.127,1.037,0.936,0.914,1.101,0.627,1.260,12,11110011111111,1.027,10.0,157,70,356,356,0,deterministic,0,5289,9,1
