episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,590,87,91,500,500,3,5.29,6,3,1,1,0,0.371,1.00,1.00,3.64,1.233,0.7947,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,595,83,96,500,500,3,9.78,6,4,1,1,0,0.892,1.00,1.00,1.66,1.578,0.9361,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,434,28,481,481,0,deterministic,0,591,1,1
3,4003,1,success,580,71,81,500,500,3,11.56,5,3,1,1,0,0.860,1.00,1.00,3.12,1.571,0.9042,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,315,122,338,338,0,deterministic,0,1186,6,1
4,4004,1,success,579,68,80,500,500,3,6.23,6,3,1,1,0,0.441,1.00,1.00,2.48,1.136,0.8143,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,229,291,315,315,0,deterministic,0,1766,6,1
5,4005,1,success,580,76,81,500,500,3,6.55,5,3,1,1,0,0.457,1.00,1.00,2.77,1.281,0.8250,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,494,300,370,494,0,deterministic,0,2345,5,1
6,4006,1,success,581,72,82,500,500,3,7.80,7,3,1,1,0,0.679,1.00,1.00,4.31,1.515,0.9056,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,135,209,354,354,0,deterministic,0,2925,5,1
7,4007,1,success,589,80,90,500,500,3,9.32,6,4,1,1,0,0.710,1.00,1.00,3.10,1.385,0.9215,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,184,76,299,299,0,deterministic,0,3506,6,1
8,4008,1,success,591,80,92,500,500,3,10.18,5,3,1,1,0,0.700,1.00,1.00,2.71,1.272,0.9369,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,429,312,53,429,0,deterministic,0,4095,5,1
9,4009,1,success,588,80,89,500,500,3,9.41,6,4,1,1,0,0.709,1.00,1.00,3.87,1.489,0.9341,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,398,371,295,398,0,deterministic,0,4686,6,1
10,4010,1,success,583,72,84,500,500,3,13.36,4,3,1,1,0,0.969,1.00,1.00,4.47,1.843,0.7976,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,157,70,356,356,0,deterministic,0,5274,4,1
11,4011,1,success,586,76,87,500,500,3,2.99,7,3,1,1,0,0.203,1.00,1.00,2.55,1.061,0.9283,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,480,443,89,480,0,deterministic,0,5857,7,1
12,4012,1,success,582,74,83,500,500,3,3.30,8,3,1,1,0,0.274,1.00,1.00,3.68,0.968,0.9133,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,470,397,275,470,0,deterministic,0,6443,3,1
13,4013,1,success,581,67,82,500,500,3,11.90,6,4,1,1,0,0.884,1.00,1.00,4.21,1.465,0.9213,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,133,2,333,333,0,deterministic,0,7025,5,1
14,4014,1,success,578,74,79,500,500,3,5.79,8,4,1,1,0,0.597,1.00,1.00,4.06,1.125,0.9005,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,468,24,148,468,0,deterministic,0,7606,6,1
15,4015,1,success,575,68,76,500,500,3,12.13,8,4,1,1,0,1.104,1.00,1.00,3.14,1.257,0.9185,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,57,218,446,446,0,deterministic,0,8184,4,1
16,4016,1,success,576,68,77,500,500,3,6.25,5,3,1,1,0,0.468,1.00,1.00,3.98,1.194,0.9040,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,293,462,127,462,0,deterministic,0,8759,9,1
17,4017,1,success,582,71,83,500,500,3,4.69,7,3,1,1,0,0.371,1.00,1.00,4.67,1.198,0.9299,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,437,320,378,437,0,deterministic,0,9335,5,1
18,4018,1,success,589,78,90,500,500,3,8.49,6,3,1,1,0,0.671,1.00,1.00,3.44,1.164,0.9165,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,240,420,162,420,0,deterministic,0,9917,7,1
19,4019,1,success,578,74,79,500,500,3,6.45,7,4,1,1,0,0.561,1.00,1.00,3.36,1.184,0.9302,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,288,413,489,489,0,deterministic,0,10506,6,1
20,4020,1,success,576,67,77,500,500,3,6.69,7,3,1,1,0,0.481,1.00,1.00,3.23,1.119,0.8943,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,17,432,493,493,0,deterministic,0,11084,4,1
21,4021,1,success,576,68,77,500,500,3,6.57,6,3,1,1,0,0.571,1.00,1.00,3.98,1.339,0.8351,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,404,411,488,488,0,deterministic,0,11660,0,1
