episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,573,69,74,500,500,3,10.58,8,2,1,1,0,0.742,1.00,1.00,3.32,4.551,0.7648,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,597,78,98,500,500,3,19.55,6,3,1,1,0,1.784,1.00,1.00,3.25,3.456,0.9364,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,434,28,481,481,0,deterministic,0,574,4,1
3,4003,1,success,584,79,85,500,500,3,23.11,7,3,1,1,0,1.720,1.00,1.00,3.71,4.717,0.8972,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,315,122,338,338,0,deterministic,0,1171,1,1
4,4004,1,success,578,66,79,500,500,3,12.47,8,2,1,1,0,0.882,1.00,1.00,3.25,5.058,0.8096,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,229,291,315,315,0,deterministic,0,1755,5,1
5,4005,1,success,581,77,82,500,500,3,13.10,8,2,1,1,0,0.914,1.00,1.00,3.87,4.913,0.7811,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,494,300,370,494,0,deterministic,0,2333,3,1
6,4006,1,success,582,76,83,500,500,3,15.61,5,2,1,1,0,1.358,1.00,1.00,2.53,4.940,0.8947,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,135,209,354,354,0,deterministic,0,2914,4,1
7,4007,1,success,600,88,101,500,500,3,18.65,7,3,1,1,0,1.420,1.00,1.00,4.26,3.588,0.9256,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,184,76,299,299,0,deterministic,0,3496,6,1
8,4008,1,success,590,79,91,500,500,3,20.35,6,2,1,1,0,1.399,1.00,1.00,3.42,3.827,0.9291,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,429,312,53,429,0,deterministic,0,4096,6,1
9,4009,1,success,594,89,95,500,500,3,18.82,7,3,1,1,0,1.418,1.00,1.00,3.26,3.062,0.9363,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,398,371,295,398,0,deterministic,0,4686,6,1
10,4010,1,success,585,64,86,500,500,3,26.73,4,2,1,1,0,1.939,1.00,1.00,3.87,4.536,0.7801,0.10,0.200,1.00,0.00,0.946,0.990,0.842,0.915,0.896,1.085,1.638,0.607,1.098,12,11101011111111,0.996,10.0,157,70,356,356,0,deterministic,0,5280,0,1
