episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,590,87,91,500,500,3,10.58,7,4,1,1,0,0.371,2.00,1.00,3.64,1.245,0.7972,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,595,83,96,500,500,3,19.55,6,4,1,1,1,0.892,2.00,1.00,1.67,1.588,0.9350,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,434,28,481,481,0,deterministic,0,591,1,1
3,4003,1,success,579,71,80,500,500,3,23.11,6,4,1,1,0,0.860,2.00,1.00,3.89,1.569,0.9031,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,315,122,338,338,0,deterministic,0,1186,6,1
4,4004,1,success,580,70,81,500,500,3,12.47,7,3,1,1,0,0.441,2.00,1.00,3.53,1.168,0.8156,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,229,291,315,315,0,deterministic,0,1765,5,1
5,4005,1,success,577,70,78,500,500,3,13.10,7,4,1,1,0,0.457,2.00,1.00,3.55,1.287,0.8341,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,494,300,370,494,0,deterministic,0,2345,5,1
6,4006,1,success,584,74,85,500,500,3,15.61,6,3,1,1,0,0.679,2.00,1.00,4.72,1.661,0.9002,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,135,209,354,354,0,deterministic,0,2922,2,1
7,4007,1,success,588,84,89,500,500,3,18.65,6,4,1,1,0,0.710,2.00,1.00,4.42,1.292,0.9233,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,184,76,299,299,0,deterministic,0,3506,6,1
8,4008,1,success,592,80,93,500,500,3,20.35,6,4,1,1,0,0.700,2.00,1.00,2.65,1.387,0.9372,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,429,312,53,429,0,deterministic,0,4094,4,1
9,4009,1,success,589,80,90,500,500,3,18.82,6,4,1,1,0,0.709,2.00,1.00,3.92,1.361,0.9329,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,398,371,295,398,0,deterministic,0,4686,6,1
10,4010,1,success,583,75,84,500,500,3,26.73,6,3,1,1,0,0.969,2.00,1.00,2.85,1.609,0.7999,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,157,70,356,356,0,deterministic,0,5275,5,1
11,4011,1,success,584,74,85,500,500,3,5.97,6,3,1,1,0,0.203,2.00,1.00,2.65,1.077,0.9274,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,480,443,89,480,0,deterministic,0,5858,8,1
12,4012,1,success,583,75,84,500,500,3,6.60,6,3,1,1,0,0.274,2.00,1.00,3.48,1.166,0.9126,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,470,397,275,470,0,deterministic,0,6442,2,1
13,4013,1,success,582,67,83,500,500,3,23.79,6,4,1,1,0,0.884,2.00,1.00,3.72,1.476,0.9155,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,133,2,333,333,0,deterministic,0,7025,5,1
14,4014,1,success,579,74,80,500,500,3,11.58,5,3,1,1,0,0.597,2.00,1.00,2.88,1.241,0.8998,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,468,24,148,468,0,deterministic,0,7607,7,1
15,4015,1,success,574,66,75,500,500,3,24.26,6,4,1,1,0,1.104,2.00,1.00,3.89,1.502,0.9142,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,57,218,446,446,0,deterministic,0,8186,6,1
16,4016,1,success,576,66,77,500,500,3,12.50,6,3,1,1,0,0.468,2.00,1.00,4.62,1.138,0.8943,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,293,462,127,462,0,deterministic,0,8760,0,1
17,4017,1,success,580,70,81,500,500,3,9.39,6,3,1,1,0,0.371,2.00,1.00,3.67,1.180,0.9311,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,437,320,378,437,0,deterministic,0,9336,6,1
18,4018,1,success,590,79,91,500,500,3,16.97,6,3,1,1,0,0.671,2.00,1.00,4.28,1.093,0.9159,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,240,420,162,420,0,deterministic,0,9916,6,1
19,4019,1,success,579,74,80,500,500,3,12.90,8,3,1,1,0,0.561,2.00,1.00,3.21,1.245,0.9290,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,288,413,489,489,0,deterministic,0,10506,6,1
20,4020,1,success,574,66,75,500,500,3,13.38,6,3,1,1,0,0.481,2.00,1.00,2.09,1.198,0.8928,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,17,432,493,493,0,deterministic,0,11085,5,1
21,4021,1,success,573,65,74,500,500,3,13.14,5,3,1,1,0,0.571,2.00,1.00,2.94,1.106,0.8359,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,404,411,488,488,0,deterministic,0,11659,9,1
22,4022,1,success,582,78,83,500,500,3,21.08,6,4,1,1,0,1.041,2.00,1.00,4.15,1.255,0.9167,0.10,0.200,1.00,0.00,1.009,1.165,0.996,0.817,1.157,0.909,1.502,0.555,1.313,13,11111111110111,1.065,10.0,281,218,208,281,0,deterministic,0,12232,2,1
