episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,581,71,82,500,500,3,7.93,6,3,1,1,0,0.371,1.50,1.00,2.26,2.841,0.7983,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,604,94,105,500,500,3,14.66,5,2,1,1,0,0.892,1.50,1.00,2.57,2.914,0.9288,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,434,28,481,481,0,deterministic,0,582,2,1
3,4003,1,success,588,79,89,500,500,3,17.33,7,4,1,1,0,0.860,1.50,1.00,1.88,2.260,0.9067,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,315,122,338,338,0,deterministic,0,1186,6,1
4,4004,1,success,579,70,80,500,500,3,9.35,7,4,1,1,0,0.441,1.50,1.00,2.47,3.058,0.8261,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,229,291,315,315,0,deterministic,0,1774,4,1
5,4005,1,success,582,73,83,500,500,3,9.82,6,4,1,1,0,0.457,1.50,1.00,3.61,2.029,0.8243,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,494,300,370,494,0,deterministic,0,2353,3,1
6,4006,1,success,589,79,90,500,500,3,11.71,6,2,1,1,0,0.679,1.50,1.00,2.34,3.385,0.9114,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,135,209,354,354,0,deterministic,0,2935,5,1
7,4007,1,success,601,95,102,500,500,3,13.98,7,3,1,1,0,0.710,1.50,1.00,2.51,2.410,0.9316,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,184,76,299,299,0,deterministic,0,3524,4,1
8,4008,1,success,600,92,101,500,500,3,15.26,6,3,1,1,0,0.700,1.50,1.00,3.21,2.557,0.9391,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,429,312,53,429,0,deterministic,0,4125,5,1
9,4009,1,success,600,94,101,500,500,3,14.12,7,4,1,1,0,0.709,1.50,1.00,3.35,1.944,0.9381,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,398,371,295,398,0,deterministic,0,4725,5,1
10,4010,1,success,584,70,85,500,500,3,20.05,5,3,1,1,0,0.969,1.50,1.00,2.53,4.586,0.8059,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,157,70,356,356,0,deterministic,0,5325,5,1
11,4011,1,success,598,83,99,500,500,3,4.48,6,3,1,1,0,0.203,1.50,1.00,2.27,2.240,0.9305,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,480,443,89,480,0,deterministic,0,5909,9,1
12,4012,1,success,588,81,89,500,500,3,4.95,8,4,1,1,0,0.274,1.50,1.00,2.25,2.393,0.9029,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,470,397,275,470,0,deterministic,0,6507,7,1
13,4013,1,success,579,71,80,500,500,3,17.84,6,3,1,1,0,0.884,1.50,1.00,2.29,2.517,0.9215,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,133,2,333,333,0,deterministic,0,7095,5,1
14,4014,1,success,590,83,91,500,500,3,8.69,7,4,1,1,0,0.597,1.50,1.00,3.87,2.525,0.8989,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,468,24,148,468,0,deterministic,0,7674,4,1
15,4015,1,success,582,75,83,500,500,3,18.20,7,3,1,1,0,1.104,1.50,1.00,3.23,3.337,0.9166,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,57,218,446,446,0,deterministic,0,8264,4,1
16,4016,1,success,588,77,89,500,500,3,9.38,7,3,1,1,0,0.468,1.50,1.00,2.42,3.115,0.9016,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,293,462,127,462,0,deterministic,0,8846,6,1
17,4017,1,success,591,81,92,500,500,3,7.04,6,2,1,1,0,0.371,1.50,1.00,3.29,3.558,0.9278,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,437,320,378,437,0,deterministic,0,9434,4,1
18,4018,1,success,596,94,97,500,500,3,12.73,7,3,1,1,0,0.671,1.50,1.00,2.09,4.266,0.8977,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,240,420,162,420,0,deterministic,0,10025,5,1
19,4019,1,success,592,89,93,500,500,3,9.67,7,2,1,1,0,0.561,1.50,1.00,4.34,4.693,0.9203,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,288,413,489,489,0,deterministic,0,10621,1,1
20,4020,1,success,593,79,94,500,500,3,10.03,6,4,1,1,0,0.481,1.50,1.00,2.80,2.314,0.8953,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,17,432,493,493,0,deterministic,0,11213,3,1
21,4021,1,success,579,68,80,500,500,3,9.85,6,3,1,1,0,0.571,1.50,1.00,3.30,2.323,0.8251,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,404,411,488,488,0,deterministic,0,11806,6,1
22,4022,1,success,589,81,90,500,500,3,15.81,7,3,1,1,0,1.041,1.50,1.00,2.58,3.450,0.9028,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,281,218,208,281,0,deterministic,0,12385,5,1
23,4023,1,success,580,75,81,500,500,3,6.57,6,2,1,1,0,0.307,1.50,1.00,5.18,4.663,0.8969,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,124,428,30,428,0,deterministic,0,12974,4,1
24,4024,1,success,586,84,87,500,500,3,4.30,7,2,1,1,0,0.202,1.50,1.00,3.41,3.172,0.8767,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,208,99,454,454,0,deterministic,0,13554,4,1
25,4025,1,success,585,79,86,500,500,3,22.29,7,3,1,1,0,1.430,1.50,1.00,2.48,2.899,0.9224,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,494,409,111,494,0,deterministic,0,14140,0,1
26,4026,1,success,596,92,97,500,500,3,17.70,5,2,1,1,0,1.064,1.50,1.00,2.38,4.437,0.8790,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,126,325,433,433,0,deterministic,0,14725,5,1
27,4027,1,success,613,100,114,500,500,3,9.70,7,4,1,1,0,0.481,1.50,1.00,2.52,2.377,0.9074,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,274,169,170,274,0,deterministic,0,15321,1,1
28,4028,1,success,582,76,83,500,500,3,13.69,6,3,1,1,0,0.713,1.50,1.00,2.91,3.448,0.8693,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,445,231,150,445,0,deterministic,0,15934,4,1
29,4029,1,success,590,84,91,500,500,3,20.17,8,3,1,1,0,0.991,1.50,1.00,1.89,2.292,0.9248,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,63,252,246,252,0,deterministic,0,16516,6,1
30,4030,1,success,589,75,90,500,500,3,5.59,6,3,1,1,0,0.272,1.50,1.00,2.61,2.845,0.8908,0.10,0.200,1.00,0.00,1.021,1.153,1.002,1.059,1.087,0.804,1.508,0.594,1.199,11,01111010111111,1.061,10.0,214,105,174,214,0,deterministic,0,17106,6,1
