theta_id,scale,mass_min,mass_max,success,lo,hi,n,reach_failure,lifted,palm,contacts,hold,hash,wall_s,csv,time
14,1.5,,,0.9800,0.9300,0.9945,100,0.0000,0.9900,0.7600,4.850,490.1,4104367278c1b74a,42,results/bo/partB/probe_passes/probe_t14_s1.5.csv,17:36:02
15,1.5,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9900,5.860,500.0,d71b7a18f8a07a11,42,results/bo/partB/probe_passes/probe_t15_s1.5.csv,17:36:48
16,1.5,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9600,7.110,500.0,65eb0177f4ecda29,42,results/bo/partB/probe_passes/probe_t16_s1.5.csv,17:37:34
17,1.5,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9900,5.540,500.0,a07092ebdece1885,42,results/bo/partB/probe_passes/probe_t17_s1.5.csv,17:38:20
18,1.5,,,0.9800,0.9300,0.9945,100,0.0000,1.0000,1.0000,5.810,491.6,8f1f68ddae9ec386,42,results/bo/partB/probe_passes/probe_t18_s1.5.csv,17:39:05
19,1.5,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.110,500.0,d2d3e9dc61c37d6c,42,results/bo/partB/probe_passes/probe_t19_s1.5.csv,17:39:51
0,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,7.200,500.0,f3f2f5870bea271b,42,results/bo/partB/probe_passes/probe_t00_s2.0.csv,17:40:37
1,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.750,500.0,dcecd7d8284ed744,42,results/bo/partB/probe_passes/probe_t01_s2.0.csv,17:41:23
2,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.390,500.0,49e3fc67e2bc9ff6,42,results/bo/partB/probe_passes/probe_t02_s2.0.csv,17:42:09
3,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.030,500.0,e89f4a40cfa23028,42,results/bo/partB/probe_passes/probe_t03_s2.0.csv,17:42:55
4,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,7.730,500.0,480f5786fb63dceb,42,results/bo/partB/probe_passes/probe_t04_s2.0.csv,17:43:41
5,2.0,,,0.8900,0.8137,0.9375,100,0.0500,0.9200,0.8200,3.980,445.8,a7656b3016a7be7f,52,results/bo/partB/probe_passes/probe_t05_s2.0.csv,17:44:37
6,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,5.800,500.0,396273e2f0e950aa,42,results/bo/partB/probe_passes/probe_t06_s2.0.csv,17:45:23
7,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9800,4.480,500.0,af2f18470645582b,42,results/bo/partB/probe_passes/probe_t07_s2.0.csv,17:46:09
8,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,4.810,500.0,6cc59b71202c7ee9,42,results/bo/partB/probe_passes/probe_t08_s2.0.csv,17:46:55
9,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,5.620,500.0,f3941b4a134f5099,42,results/bo/partB/probe_passes/probe_t09_s2.0.csv,17:47:41
10,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,4.610,500.0,211431dd906420b2,42,results/bo/partB/probe_passes/probe_t10_s2.0.csv,17:48:26
11,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.7200,3.810,500.0,a53a3ac4e6e8f519,42,results/bo/partB/probe_passes/probe_t11_s2.0.csv,17:49:12
12,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9800,3.830,500.0,d682ae9b1bf471ad,42,results/bo/partB/probe_passes/probe_t12_s2.0.csv,17:49:58
13,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.170,500.0,d7e788c5ad8db2ba,42,results/bo/partB/probe_passes/probe_t13_s2.0.csv,17:50:44
14,2.0,,,0.8500,0.7672,0.9069,100,0.0500,0.9200,0.7300,4.550,430.8,9f72853938079c3f,52,results/bo/partB/probe_passes/probe_t14_s2.0.csv,17:51:40
15,2.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9800,6.110,500.0,8b277537c8b3db23,42,results/bo/partB/probe_passes/probe_t15_s2.0.csv,17:52:26
