trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.600,0.00,0,0,drop,353,-1,301,301,-1,0,0,0.00,5.89,0,0,0,0.0001,3.45,6429,0,0.347,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.902; indexMiddle k=0.949 lim=1.50 peak=0.563; indexEnd k=0.316 lim=0.70 peak=0.214; middleBase k=1.732 lim=2.50 peak=1.223; middleMiddle k=0.949 lim=1.50 peak=0.763; middleEnd k=0.316 lim=0.70 peak=0.075; ringBase k=1.732 lim=2.50 peak=0.477; ringMiddle k=0.949 lim=1.50 peak=0.385; ringEnd k=0.316 lim=0.70 peak=0.171; pinkyBase k=1.732 lim=2.50 peak=0.613; pinkyMiddle k=0.949 lim=1.50 peak=0.327; pinkyEnd k=0.316 lim=0.70 peak=0.076; thumbBase k=3.873 lim=4.00 peak=0.724; thumbEnd k=0.949 lim=1.50 peak=0.173; wristFlex k=3.16 lim=6.0 peak=0.543; wristPron k=3.16 lim=6.0 peak=0.462;
2,lift,envelope,0.600,0.00,1,0,drop,357,-1,300,300,-1,0,0,0.00,5.89,0,0,0,0.0000,2.57,3013,0,0.239,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=1.068; indexMiddle k=0.949 lim=1.50 peak=0.582; indexEnd k=0.316 lim=0.70 peak=0.177; middleBase k=1.732 lim=2.50 peak=1.132; middleMiddle k=0.949 lim=1.50 peak=0.781; middleEnd k=0.316 lim=0.70 peak=0.133; ringBase k=1.732 lim=2.50 peak=0.896; ringMiddle k=0.949 lim=1.50 peak=0.378; ringEnd k=0.316 lim=0.70 peak=0.169; pinkyBase k=1.732 lim=2.50 peak=0.559; pinkyMiddle k=0.949 lim=1.50 peak=0.367; pinkyEnd k=0.316 lim=0.70 peak=0.051; thumbBase k=3.873 lim=4.00 peak=0.727; thumbEnd k=0.949 lim=1.50 peak=0.155; wristFlex k=3.16 lim=6.0 peak=0.472; wristPron k=3.16 lim=6.0 peak=0.370;
DONE
