trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.200,0.00,0,1,success,628,-1,99,99,129,500,3,0.00,1.96,5,1,0,0.0891,1.56,1878,0,1.079,0.00,0.200,1.00,0.00,penWindow n=473 max=1.85mm p95=1.84mm median=1.84mm wall=0.4s stepsPerSec=1474 torque: indexBase k=1.732 lim=2.50 peak=0.139; indexMiddle k=0.949 lim=1.50 peak=0.126; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.021; middleMiddle k=0.949 lim=1.50 peak=0.060; middleEnd k=0.316 lim=0.70 peak=0.030; ringBase k=1.732 lim=2.50 peak=0.085; ringMiddle k=0.949 lim=1.50 peak=0.115; ringEnd k=0.316 lim=0.70 peak=0.053; pinkyBase k=1.732 lim=2.50 peak=0.286; pinkyMiddle k=0.949 lim=1.50 peak=0.184; pinkyEnd k=0.316 lim=0.70 peak=0.072; thumbBase k=3.873 lim=4.00 peak=0.936; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=0.142; wristPron k=3.16 lim=6.0 peak=0.112; controller: indexBase nocontact cap->-60.0 angle=-53.8 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.8 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.1 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-42.9 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.8 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
2,lift,envelope,0.200,0.00,1,1,success,620,-1,98,98,121,500,3,0.00,1.96,5,1,0,0.0891,1.59,2093,0,1.073,0.00,0.200,1.00,0.00,penWindow n=473 max=1.89mm p95=1.88mm median=1.88mm wall=0.4s stepsPerSec=1664 torque: indexBase k=1.732 lim=2.50 peak=0.148; indexMiddle k=0.949 lim=1.50 peak=0.125; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.028; middleMiddle k=0.949 lim=1.50 peak=0.060; middleEnd k=0.316 lim=0.70 peak=0.031; ringBase k=1.732 lim=2.50 peak=0.090; ringMiddle k=0.949 lim=1.50 peak=0.114; ringEnd k=0.316 lim=0.70 peak=0.053; pinkyBase k=1.732 lim=2.50 peak=0.282; pinkyMiddle k=0.949 lim=1.50 peak=0.183; pinkyEnd k=0.316 lim=0.70 peak=0.073; thumbBase k=3.873 lim=4.00 peak=0.927; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=0.154; wristPron k=3.16 lim=6.0 peak=0.121; controller: indexBase nocontact cap->-60.0 angle=-53.8 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.8 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-28.5 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.6 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.0 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.6 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
3,lift,envelope,0.200,0.00,2,1,success,620,-1,98,98,121,500,3,0.00,1.96,5,1,0,0.0891,1.59,1744,0,1.078,0.00,0.200,1.00,0.00,penWindow n=473 max=1.71mm p95=1.70mm median=1.70mm wall=0.4s stepsPerSec=1611 torque: indexBase k=1.732 lim=2.50 peak=0.138; indexMiddle k=0.949 lim=1.50 peak=0.126; indexEnd k=0.316 lim=0.70 peak=0.053; middleBase k=1.732 lim=2.50 peak=0.018; middleMiddle k=0.949 lim=1.50 peak=0.059; middleEnd k=0.316 lim=0.70 peak=0.031; ringBase k=1.732 lim=2.50 peak=0.085; ringMiddle k=0.949 lim=1.50 peak=0.116; ringEnd k=0.316 lim=0.70 peak=0.053; pinkyBase k=1.732 lim=2.50 peak=0.290; pinkyMiddle k=0.949 lim=1.50 peak=0.185; pinkyEnd k=0.316 lim=0.70 peak=0.072; thumbBase k=3.873 lim=4.00 peak=0.932; thumbEnd k=0.949 lim=1.50 peak=0.002; wristFlex k=3.16 lim=6.0 peak=0.147; wristPron k=3.16 lim=6.0 peak=0.117; controller: indexBase nocontact cap->-60.0 angle=-53.9 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.7 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.6 touch=1; ringBase nocontact cap->-60.0 angle=-56.1 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.1 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-42.9 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.7 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
4,lift,envelope,0.600,0.00,0,1,success,622,-1,98,98,123,500,3,0.00,5.89,5,1,0,0.0856,1.60,1752,0,1.075,0.00,0.200,1.00,0.00,penWindow n=473 max=1.65mm p95=1.64mm median=1.63mm wall=0.4s stepsPerSec=1678 torque: indexBase k=1.732 lim=2.50 peak=0.155; indexMiddle k=0.949 lim=1.50 peak=0.127; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.042; middleMiddle k=0.949 lim=1.50 peak=0.063; middleEnd k=0.316 lim=0.70 peak=0.031; ringBase k=1.732 lim=2.50 peak=0.105; ringMiddle k=0.949 lim=1.50 peak=0.121; ringEnd k=0.316 lim=0.70 peak=0.055; pinkyBase k=1.732 lim=2.50 peak=0.283; pinkyMiddle k=0.949 lim=1.50 peak=0.183; pinkyEnd k=0.316 lim=0.70 peak=0.074; thumbBase k=3.873 lim=4.00 peak=0.929; thumbEnd k=0.949 lim=1.50 peak=0.002; wristFlex k=3.16 lim=6.0 peak=0.205; wristPron k=3.16 lim=6.0 peak=0.351; controller: indexBase nocontact cap->-60.0 angle=-53.9 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.7 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.6 touch=1; ringBase nocontact cap->-60.0 angle=-56.1 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.1 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-42.9 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.7 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
5,lift,envelope,0.600,0.00,1,1,success,620,-1,98,98,121,500,3,0.00,5.89,5,1,0,0.0853,1.59,1867,0,1.081,0.00,0.200,1.00,0.00,penWindow n=473 max=1.82mm p95=1.80mm median=1.80mm wall=0.4s stepsPerSec=1632 torque: indexBase k=1.732 lim=2.50 peak=0.143; indexMiddle k=0.949 lim=1.50 peak=0.125; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.033; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.031; ringBase k=1.732 lim=2.50 peak=0.085; ringMiddle k=0.949 lim=1.50 peak=0.115; ringEnd k=0.316 lim=0.70 peak=0.054; pinkyBase k=1.732 lim=2.50 peak=0.279; pinkyMiddle k=0.949 lim=1.50 peak=0.183; pinkyEnd k=0.316 lim=0.70 peak=0.073; thumbBase k=3.873 lim=4.00 peak=0.942; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=0.203; wristPron k=3.16 lim=6.0 peak=0.365; controller: indexBase nocontact cap->-60.0 angle=-53.8 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.7 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.6 touch=1; ringBase nocontact cap->-60.0 angle=-56.1 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.1 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-42.9 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.7 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
6,lift,envelope,0.600,0.00,2,1,success,620,-1,98,98,121,500,3,0.00,5.89,5,1,0,0.0854,1.58,1860,0,1.079,0.00,0.200,1.00,0.00,penWindow n=473 max=1.83mm p95=1.82mm median=1.81mm wall=0.4s stepsPerSec=1642 torque: indexBase k=1.732 lim=2.50 peak=0.142; indexMiddle k=0.949 lim=1.50 peak=0.126; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.038; middleMiddle k=0.949 lim=1.50 peak=0.060; middleEnd k=0.316 lim=0.70 peak=0.031; ringBase k=1.732 lim=2.50 peak=0.085; ringMiddle k=0.949 lim=1.50 peak=0.114; ringEnd k=0.316 lim=0.70 peak=0.055; pinkyBase k=1.732 lim=2.50 peak=0.280; pinkyMiddle k=0.949 lim=1.50 peak=0.183; pinkyEnd k=0.316 lim=0.70 peak=0.073; thumbBase k=3.873 lim=4.00 peak=0.940; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=0.203; wristPron k=3.16 lim=6.0 peak=0.366; controller: indexBase nocontact cap->-60.0 angle=-53.8 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.7 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.6 touch=1; ringBase nocontact cap->-60.0 angle=-56.1 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.1 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-42.9 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.7 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
7,lift,envelope,1.500,0.00,0,1,success,627,-1,98,98,128,500,3,0.00,14.72,5,1,0,0.0952,1.62,1913,0,1.045,0.00,0.200,1.00,0.00,penWindow n=476 max=1.54mm p95=1.54mm median=1.54mm wall=0.4s stepsPerSec=1695 torque: indexBase k=1.732 lim=2.50 peak=0.156; indexMiddle k=0.949 lim=1.50 peak=0.129; indexEnd k=0.316 lim=0.70 peak=0.053; middleBase k=1.732 lim=2.50 peak=0.099; middleMiddle k=0.949 lim=1.50 peak=0.062; middleEnd k=0.316 lim=0.70 peak=0.032; ringBase k=1.732 lim=2.50 peak=0.172; ringMiddle k=0.949 lim=1.50 peak=0.118; ringEnd k=0.316 lim=0.70 peak=0.055; pinkyBase k=1.732 lim=2.50 peak=0.290; pinkyMiddle k=0.949 lim=1.50 peak=0.188; pinkyEnd k=0.316 lim=0.70 peak=0.075; thumbBase k=3.873 lim=4.00 peak=0.933; thumbEnd k=0.949 lim=1.50 peak=0.002; wristFlex k=3.16 lim=6.0 peak=0.519; wristPron k=3.16 lim=6.0 peak=1.026; controller: indexBase nocontact cap->-60.0 angle=-53.8 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.7 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.6 touch=1; ringBase nocontact cap->-60.0 angle=-56.1 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.1 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-42.9 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.7 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
8,lift,envelope,1.500,0.00,1,1,success,630,-1,98,98,131,500,3,0.00,14.72,5,1,0,0.0951,1.68,1867,0,1.072,0.00,0.200,1.00,0.00,penWindow n=476 max=1.93mm p95=1.92mm median=1.92mm wall=0.4s stepsPerSec=1667 torque: indexBase k=1.732 lim=2.50 peak=0.172; indexMiddle k=0.949 lim=1.50 peak=0.127; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.046; middleMiddle k=0.949 lim=1.50 peak=0.062; middleEnd k=0.316 lim=0.70 peak=0.032; ringBase k=1.732 lim=2.50 peak=0.093; ringMiddle k=0.949 lim=1.50 peak=0.118; ringEnd k=0.316 lim=0.70 peak=0.057; pinkyBase k=1.732 lim=2.50 peak=0.275; pinkyMiddle k=0.949 lim=1.50 peak=0.184; pinkyEnd k=0.316 lim=0.70 peak=0.075; thumbBase k=3.873 lim=4.00 peak=0.945; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=0.498; wristPron k=3.16 lim=6.0 peak=1.039; controller: indexBase nocontact cap->-60.0 angle=-53.8 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.8 touch=0; indexEnd stop=-30.0 preload->-42.0 angle=-28.4 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.1 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-42.9 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.8 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
9,lift,envelope,1.500,0.00,2,1,success,630,-1,98,98,131,500,3,0.00,14.72,5,1,0,0.0954,1.71,1828,0,1.050,0.00,0.200,1.00,0.00,penWindow n=476 max=1.44mm p95=1.43mm median=1.43mm wall=0.4s stepsPerSec=1643 torque: indexBase k=1.732 lim=2.50 peak=0.178; indexMiddle k=0.949 lim=1.50 peak=0.129; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.056; middleMiddle k=0.949 lim=1.50 peak=0.063; middleEnd k=0.316 lim=0.70 peak=0.032; ringBase k=1.732 lim=2.50 peak=0.162; ringMiddle k=0.949 lim=1.50 peak=0.121; ringEnd k=0.316 lim=0.70 peak=0.054; pinkyBase k=1.732 lim=2.50 peak=0.277; pinkyMiddle k=0.949 lim=1.50 peak=0.185; pinkyEnd k=0.316 lim=0.70 peak=0.075; thumbBase k=3.873 lim=4.00 peak=0.945; thumbEnd k=0.949 lim=1.50 peak=0.002; wristFlex k=3.16 lim=6.0 peak=0.499; wristPron k=3.16 lim=6.0 peak=1.028; controller: indexBase nocontact cap->-60.0 angle=-53.8 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.8 touch=0; indexEnd stop=-30.0 preload->-42.0 angle=-28.4 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.1 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-42.9 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.8 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
DONE
