trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.600,1.00,0,0,drop,181,-1,180,180,-1,0,0,0.00,5.89,0,0,0,0.0201,8.73,682188,0,0.080,0.00,0.000,0.00,-0.20, shapingAgent=0.4949 telescoped=0.4948 forearmEnd=0 gateStep=-1 penWindow n=0 wall=0.1s stepsPerSec=1655 torque: indexBase k=1.732 lim=2.50 peak=2.500; indexMiddle k=0.949 lim=1.50 peak=1.500; indexEnd k=0.316 lim=0.70 peak=0.700; middleBase k=1.732 lim=2.50 peak=1.458; middleMiddle k=0.949 lim=1.50 peak=1.500; middleEnd k=0.316 lim=0.70 peak=0.700; ringBase k=1.732 lim=2.50 peak=2.500; ringMiddle k=0.949 lim=1.50 peak=1.500; ringEnd k=0.316 lim=0.70 peak=0.254; pinkyBase k=1.732 lim=2.50 peak=2.392; pinkyMiddle k=0.949 lim=1.50 peak=0.530; pinkyEnd k=0.316 lim=0.70 peak=0.149; thumbBase k=3.873 lim=4.00 peak=4.000; thumbEnd k=0.949 lim=1.50 peak=0.712; wristFlex k=3.16 lim=6.0 peak=6.000; wristPron k=3.16 lim=6.0 peak=6.000; controller: indexBase nocontact cap->0.0 angle=0.9 touch=0; indexMiddle nocontact cap->0.0 angle=-715.1 touch=0; indexEnd nocontact cap->0.0 angle=640.6 touch=0; middleBase nocontact cap->0.0 angle=0.9 touch=0; middleMiddle nocontact cap->0.0 angle=-715.9 touch=0; middleEnd nocontact cap->0.0 angle=640.0 touch=0; ringBase nocontact cap->0.0 angle=-0.3 touch=0; ringMiddle nocontact cap->0.0 angle=-0.1 touch=0; ringEnd nocontact cap->0.0 angle=0.0 touch=0; pinkyBase nocontact cap->0.0 angle=-0.2 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.1 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase nocontact cap->0.0 angle=-0.1 touch=0; thumbEnd nocontact cap->0.0 angle=0.0 touch=0; palm=no contacts=0 | objInPalm(mm)=(64, -46, 116) r=25 linkEnds(mm): indexBase=(138, -1, 37) indexMiddle=(159, -3, 40) indexEnd=(162, 16, 43) middleBase=(148, -1, 10) middleMiddle=(173, -3, 11) middleEnd=(176, 17, 11) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 3, -19) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(44, 45, 45) thumbEnd=(82, 84, 51) palmFace(out mm)=10
2,lift,envelope,0.600,1.00,1,0,drop,180,-1,179,179,-1,0,0,0.00,5.89,0,0,0,0.0201,15.43,644962,0,0.095,0.00,0.000,0.00,-0.20, shapingAgent=0.3710 telescoped=0.3709 forearmEnd=0 gateStep=-1 penWindow n=0 wall=0.1s stepsPerSec=2112 torque: indexBase k=1.732 lim=2.50 peak=2.500; indexMiddle k=0.949 lim=1.50 peak=1.500; indexEnd k=0.316 lim=0.70 peak=0.628; middleBase k=1.732 lim=2.50 peak=2.012; middleMiddle k=0.949 lim=1.50 peak=1.500; middleEnd k=0.316 lim=0.70 peak=0.700; ringBase k=1.732 lim=2.50 peak=2.500; ringMiddle k=0.949 lim=1.50 peak=1.500; ringEnd k=0.316 lim=0.70 peak=0.190; pinkyBase k=1.732 lim=2.50 peak=2.222; pinkyMiddle k=0.949 lim=1.50 peak=0.550; pinkyEnd k=0.316 lim=0.70 peak=0.152; thumbBase k=3.873 lim=4.00 peak=4.000; thumbEnd k=0.949 lim=1.50 peak=1.500; wristFlex k=3.16 lim=6.0 peak=6.000; wristPron k=3.16 lim=6.0 peak=6.000; controller: indexBase nocontact cap->0.0 angle=2.9 touch=0; indexMiddle nocontact cap->0.0 angle=-702.2 touch=0; indexEnd nocontact cap->0.0 angle=2.2 touch=0; middleBase nocontact cap->0.0 angle=1.5 touch=0; middleMiddle nocontact cap->0.0 angle=-716.0 touch=0; middleEnd nocontact cap->0.0 angle=640.0 touch=0; ringBase nocontact cap->0.0 angle=0.5 touch=0; ringMiddle nocontact cap->0.0 angle=-0.4 touch=0; ringEnd nocontact cap->0.0 angle=0.1 touch=0; pinkyBase nocontact cap->0.0 angle=0.6 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.4 touch=0; pinkyEnd nocontact cap->0.0 angle=0.1 touch=0; thumbBase nocontact cap->0.0 angle=-8.1 touch=0; thumbEnd nocontact cap->0.0 angle=-12.3 touch=0; palm=no contacts=0 | objInPalm(mm)=(57, -54, 134) r=25 linkEnds(mm): indexBase=(138, -2, 37) indexMiddle=(158, -9, 40) indexEnd=(176, -14, 43) middleBase=(148, -1, 11) middleMiddle=(173, -4, 11) middleEnd=(176, 16, 11) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 3, -48) thumbBase=(38, 46, 48) thumbEnd=(67, 91, 60) palmFace(out mm)=10
DONE
