trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.200,0.00,0,0,drop,55,-1,2,-1,-1,0,0,0.00,1.96,0,0,0,0.0003,5.67,960,0,0.023,0.00,0.000,0.00,-0.20,torque: indexBase k=0.648 lim=2.50 peak=0.180; indexMiddle k=1.152 lim=1.50 peak=0.075; indexEnd k=0.605 lim=0.70 peak=0.030; middleBase k=4000.000 lim=4.00 peak=0.610; middleMiddle k=2.318 lim=1.50 peak=0.461; middleEnd k=0.157 lim=0.70 peak=0.036; ringBase k=0.849 lim=2.50 peak=0.348; ringMiddle k=4000.000 lim=4.00 peak=0.189; ringEnd k=0.160 lim=0.70 peak=0.023; pinkyBase k=5.527 lim=2.50 peak=0.199; pinkyMiddle k=0.534 lim=1.50 peak=0.087; pinkyEnd k=0.468 lim=0.70 peak=0.028; thumbBase k=4.047 lim=4.00 peak=0.122; thumbEnd k=0.463 lim=1.50 peak=0.013; wristFlex k=7.68 lim=6.0 peak=0.388; wristPron k=9.53 lim=6.0 peak=0.102;
2,lift,envelope,0.200,0.00,1,0,drop,96,-1,1,-1,-1,0,0,0.00,1.96,0,0,0,0.0003,3.29,2039,0,0.003,0.00,0.000,0.00,-0.20,torque: indexBase k=0.700 lim=2.50 peak=0.367; indexMiddle k=1.951 lim=1.50 peak=0.128; indexEnd k=0.273 lim=0.70 peak=0.040; middleBase k=4000.000 lim=4.00 peak=0.031; middleMiddle k=4000.000 lim=4.00 peak=0.093; middleEnd k=0.512 lim=0.70 peak=0.044; ringBase k=4.723 lim=2.50 peak=0.129; ringMiddle k=4000.000 lim=4.00 peak=0.004; ringEnd k=4000.000 lim=4.00 peak=0.004; pinkyBase k=4000.000 lim=4.00 peak=0.112; pinkyMiddle k=0.491 lim=1.50 peak=0.029; pinkyEnd k=0.555 lim=0.70 peak=0.000; thumbBase k=1.201 lim=4.00 peak=0.182; thumbEnd k=0.855 lim=1.50 peak=0.007; wristFlex k=4.88 lim=6.0 peak=0.381; wristPron k=3.75 lim=6.0 peak=0.105;
3,lift,envelope,0.600,0.00,0,0,drop,86,-1,1,-1,-1,0,0,0.00,5.89,0,0,0,0.0001,0.68,1814,0,0.011,0.00,0.000,0.00,-0.20,torque: indexBase k=4.238 lim=2.50 peak=0.359; indexMiddle k=1.244 lim=1.50 peak=0.189; indexEnd k=0.137 lim=0.70 peak=0.045; middleBase k=1.329 lim=2.50 peak=0.008; middleMiddle k=1.243 lim=1.50 peak=0.004; middleEnd k=4000.000 lim=4.00 peak=0.004; ringBase k=0.607 lim=2.50 peak=0.096; ringMiddle k=1.458 lim=1.50 peak=0.003; ringEnd k=0.100 lim=0.70 peak=0.000; pinkyBase k=3.730 lim=2.50 peak=0.016; pinkyMiddle k=0.614 lim=1.50 peak=0.032; pinkyEnd k=0.120 lim=0.70 peak=0.000; thumbBase k=4.786 lim=4.00 peak=0.193; thumbEnd k=1.041 lim=1.50 peak=0.030; wristFlex k=9.03 lim=6.0 peak=0.316; wristPron k=9.86 lim=6.0 peak=0.088;
4,lift,envelope,0.600,0.00,1,0,drop,90,-1,1,-1,-1,0,0,0.00,5.89,0,0,0,0.0001,2.24,1781,0,0.019,0.00,0.000,0.00,-0.20,torque: indexBase k=0.725 lim=2.50 peak=0.239; indexMiddle k=4000.000 lim=4.00 peak=0.049; indexEnd k=0.225 lim=0.70 peak=0.038; middleBase k=0.683 lim=2.50 peak=0.578; middleMiddle k=0.768 lim=1.50 peak=0.383; middleEnd k=0.117 lim=0.70 peak=0.003; ringBase k=4000.000 lim=4.00 peak=0.233; ringMiddle k=4000.000 lim=4.00 peak=0.111; ringEnd k=4000.000 lim=4.00 peak=0.039; pinkyBase k=2.038 lim=2.50 peak=0.228; pinkyMiddle k=0.741 lim=1.50 peak=0.072; pinkyEnd k=0.629 lim=0.70 peak=0.024; thumbBase k=2.194 lim=4.00 peak=0.215; thumbEnd k=1.635 lim=1.50 peak=0.018; wristFlex k=4.24 lim=6.0 peak=0.377; wristPron k=4.03 lim=6.0 peak=0.127;
DONE
