trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.600,0.00,0,1,success,630,-1,99,99,131,500,3,0.00,5.89,5,1,0,0.0855,1.56,1819,0,1.075,0.00,0.200,1.00,0.00, shapingAgent=0.9290 telescoped=0.9290 edgeHoldMax=303 forearmEnd=0 gateStep=-1 penWindow n=173 max=1.84mm p95=1.83mm median=1.83mm wall=0.4s stepsPerSec=1536 torque: indexBase k=1.732 lim=2.50 peak=0.162; indexMiddle k=0.949 lim=1.50 peak=0.126; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.031; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.031; ringBase k=1.732 lim=2.50 peak=0.088; ringMiddle k=0.949 lim=1.50 peak=0.114; ringEnd k=0.316 lim=0.70 peak=0.055; pinkyBase k=1.732 lim=2.50 peak=0.282; pinkyMiddle k=0.949 lim=1.50 peak=0.183; pinkyEnd k=0.316 lim=0.70 peak=0.074; thumbBase k=3.873 lim=4.00 peak=0.933; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=0.190; wristPron k=3.16 lim=6.0 peak=0.373; controller: indexBase nocontact cap->-60.0 angle=-53.9 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.7 touch=0; indexEnd stop=-30.0 preload->-42.0 angle=-28.4 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.6 touch=1; ringBase nocontact cap->-60.0 angle=-56.1 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.1 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.0 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.7 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
2,lift,envelope,0.600,0.00,1,1,success,620,-1,98,98,121,500,3,0.00,5.89,5,1,0,0.0854,1.58,1919,0,1.081,0.00,0.200,1.00,0.00, shapingAgent=0.9219 telescoped=0.9219 edgeHoldMax=303 forearmEnd=0 gateStep=-1 penWindow n=173 max=1.83mm p95=1.81mm median=1.80mm wall=0.4s stepsPerSec=1649 torque: indexBase k=1.732 lim=2.50 peak=0.142; indexMiddle k=0.949 lim=1.50 peak=0.126; indexEnd k=0.316 lim=0.70 peak=0.053; middleBase k=1.732 lim=2.50 peak=0.034; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.031; ringBase k=1.732 lim=2.50 peak=0.088; ringMiddle k=0.949 lim=1.50 peak=0.115; ringEnd k=0.316 lim=0.70 peak=0.054; pinkyBase k=1.732 lim=2.50 peak=0.276; pinkyMiddle k=0.949 lim=1.50 peak=0.183; pinkyEnd k=0.316 lim=0.70 peak=0.073; thumbBase k=3.873 lim=4.00 peak=0.942; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=0.190; wristPron k=3.16 lim=6.0 peak=0.372; controller: indexBase nocontact cap->-60.0 angle=-53.8 touch=0; indexMiddle nocontact cap->-70.0 angle=-57.7 touch=0; indexEnd stop=-30.2 preload->-42.2 angle=-28.5 touch=1; middleBase nocontact cap->-60.0 angle=-58.7 touch=0; middleMiddle nocontact cap->-70.0 angle=-64.9 touch=0; middleEnd stop=-29.7 preload->-41.7 angle=-32.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.1 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.1 preload->-42.1 angle=-28.4 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.1 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.6 touch=1; thumbBase stop=-1.8 preload->10.2 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=5 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(122, 31, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(127, 37, 12) middleMiddle=(113, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 67, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
DONE
