trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.600,2.00,0,1,success,630,100,99,99,131,500,3,17.50,5.89,6,1,0,0.0862,1.71,1884,0,1.321,0.00,0.200,1.00,0.00,penWindow n=473 max=2.00mm p95=1.95mm median=1.95mm wall=0.4s stepsPerSec=1471 torque: indexBase k=1.732 lim=2.50 peak=0.288; indexMiddle k=0.949 lim=1.50 peak=0.174; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.058; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.032; ringBase k=1.732 lim=2.50 peak=0.105; ringMiddle k=0.949 lim=1.50 peak=0.118; ringEnd k=0.316 lim=0.70 peak=0.056; pinkyBase k=1.732 lim=2.50 peak=0.282; pinkyMiddle k=0.949 lim=1.50 peak=0.184; pinkyEnd k=0.316 lim=0.70 peak=0.075; thumbBase k=3.873 lim=4.00 peak=0.949; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=1.123; wristPron k=3.16 lim=6.0 peak=0.667; controller: indexBase stop=-55.5 preload->-67.5 angle=-56.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.0 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-30.9 touch=1; middleBase nocontact cap->-60.0 angle=-58.9 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.0 touch=0; middleEnd stop=-29.1 preload->-41.1 angle=-31.8 touch=1; ringBase nocontact cap->-60.0 angle=-56.3 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.5 touch=0; ringEnd stop=-30.3 preload->-42.3 angle=-28.9 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.0 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.7 touch=1; thumbBase stop=-1.7 preload->10.3 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=6 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 52, 41) indexEnd=(98, 62, 45) middleBase=(127, 37, 12) middleMiddle=(112, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 66, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
2,lift,envelope,0.600,2.00,1,1,success,620,99,98,98,121,500,3,16.99,5.89,6,1,0,0.0833,1.68,2005,0,1.326,0.00,0.200,1.00,0.00,penWindow n=473 max=1.86mm p95=1.83mm median=1.70mm wall=0.4s stepsPerSec=1634 torque: indexBase k=1.732 lim=2.50 peak=0.280; indexMiddle k=0.949 lim=1.50 peak=0.173; indexEnd k=0.316 lim=0.70 peak=0.054; middleBase k=1.732 lim=2.50 peak=0.049; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.032; ringBase k=1.732 lim=2.50 peak=0.082; ringMiddle k=0.949 lim=1.50 peak=0.115; ringEnd k=0.316 lim=0.70 peak=0.056; pinkyBase k=1.732 lim=2.50 peak=0.289; pinkyMiddle k=0.949 lim=1.50 peak=0.185; pinkyEnd k=0.316 lim=0.70 peak=0.073; thumbBase k=3.873 lim=4.00 peak=0.947; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=0.955; wristPron k=3.16 lim=6.0 peak=0.965; controller: indexBase stop=-55.5 preload->-67.5 angle=-56.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.0 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-30.9 touch=1; middleBase nocontact cap->-60.0 angle=-58.9 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.0 touch=0; middleEnd stop=-29.1 preload->-41.1 angle=-31.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.3 preload->-42.3 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.0 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.7 touch=1; thumbBase stop=-1.7 preload->10.3 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=6 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 52, 41) indexEnd=(98, 62, 45) middleBase=(127, 37, 12) middleMiddle=(112, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 66, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
3,lift,envelope,0.600,2.00,2,1,success,620,99,98,98,121,500,3,14.51,5.89,6,1,0,0.0858,1.59,1796,0,1.311,0.00,0.200,1.00,0.00,penWindow n=473 max=1.84mm p95=1.80mm median=1.57mm wall=0.4s stepsPerSec=1607 torque: indexBase k=1.732 lim=2.50 peak=0.278; indexMiddle k=0.949 lim=1.50 peak=0.174; indexEnd k=0.316 lim=0.70 peak=0.055; middleBase k=1.732 lim=2.50 peak=0.111; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.032; ringBase k=1.732 lim=2.50 peak=0.102; ringMiddle k=0.949 lim=1.50 peak=0.117; ringEnd k=0.316 lim=0.70 peak=0.059; pinkyBase k=1.732 lim=2.50 peak=0.288; pinkyMiddle k=0.949 lim=1.50 peak=0.186; pinkyEnd k=0.316 lim=0.70 peak=0.075; thumbBase k=3.873 lim=4.00 peak=0.936; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=1.005; wristPron k=3.16 lim=6.0 peak=0.599; controller: indexBase stop=-55.5 preload->-67.5 angle=-56.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.0 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-31.0 touch=1; middleBase nocontact cap->-60.0 angle=-58.9 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.0 touch=0; middleEnd stop=-29.1 preload->-41.1 angle=-31.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.3 preload->-42.3 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.1 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.5 touch=1; thumbBase stop=-1.7 preload->10.3 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=6 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 52, 41) indexEnd=(98, 62, 45) middleBase=(127, 37, 12) middleMiddle=(112, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 66, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
4,lift,envelope,0.600,2.50,0,1,success,620,99,98,98,121,500,3,19.70,5.89,6,1,0,0.0857,1.59,1921,0,1.326,0.00,0.200,1.00,0.00,penWindow n=473 max=1.76mm p95=1.72mm median=1.70mm wall=0.4s stepsPerSec=1653 torque: indexBase k=1.732 lim=2.50 peak=0.277; indexMiddle k=0.949 lim=1.50 peak=0.171; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.034; middleMiddle k=0.949 lim=1.50 peak=0.059; middleEnd k=0.316 lim=0.70 peak=0.032; ringBase k=1.732 lim=2.50 peak=0.082; ringMiddle k=0.949 lim=1.50 peak=0.114; ringEnd k=0.316 lim=0.70 peak=0.056; pinkyBase k=1.732 lim=2.50 peak=0.282; pinkyMiddle k=0.949 lim=1.50 peak=0.183; pinkyEnd k=0.316 lim=0.70 peak=0.074; thumbBase k=3.873 lim=4.00 peak=0.939; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=1.081; wristPron k=3.16 lim=6.0 peak=0.472; controller: indexBase stop=-55.5 preload->-67.5 angle=-56.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.0 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-31.0 touch=1; middleBase nocontact cap->-60.0 angle=-58.9 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.0 touch=0; middleEnd stop=-29.1 preload->-41.1 angle=-31.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.3 preload->-42.3 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.1 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.5 touch=1; thumbBase stop=-1.7 preload->10.3 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=6 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 52, 41) indexEnd=(98, 62, 45) middleBase=(127, 37, 12) middleMiddle=(112, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 66, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
5,lift,envelope,0.600,2.50,1,1,success,620,99,98,98,121,500,3,18.61,5.89,6,1,0,0.0855,1.67,1955,0,1.324,0.00,0.200,1.00,0.00,penWindow n=473 max=1.98mm p95=1.95mm median=1.93mm wall=0.4s stepsPerSec=1643 torque: indexBase k=1.732 lim=2.50 peak=0.276; indexMiddle k=0.949 lim=1.50 peak=0.174; indexEnd k=0.316 lim=0.70 peak=0.055; middleBase k=1.732 lim=2.50 peak=0.037; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.032; ringBase k=1.732 lim=2.50 peak=0.091; ringMiddle k=0.949 lim=1.50 peak=0.116; ringEnd k=0.316 lim=0.70 peak=0.058; pinkyBase k=1.732 lim=2.50 peak=0.279; pinkyMiddle k=0.949 lim=1.50 peak=0.185; pinkyEnd k=0.316 lim=0.70 peak=0.075; thumbBase k=3.873 lim=4.00 peak=0.946; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=1.447; wristPron k=3.16 lim=6.0 peak=0.828; controller: indexBase stop=-55.5 preload->-67.5 angle=-56.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.0 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-31.0 touch=1; middleBase nocontact cap->-60.0 angle=-58.9 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.0 touch=0; middleEnd stop=-29.1 preload->-41.1 angle=-31.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.3 preload->-42.3 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.1 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.5 touch=1; thumbBase stop=-1.7 preload->10.3 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=6 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 52, 41) indexEnd=(98, 62, 45) middleBase=(127, 37, 12) middleMiddle=(112, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 66, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
6,lift,envelope,0.600,2.50,2,1,success,620,99,98,98,121,500,3,21.83,5.89,5,1,0,0.0856,1.70,1967,0,1.241,0.00,0.200,1.00,0.00,penWindow n=473 max=1.77mm p95=1.58mm median=1.57mm wall=0.4s stepsPerSec=1632 torque: indexBase k=1.732 lim=2.50 peak=0.275; indexMiddle k=0.949 lim=1.50 peak=0.174; indexEnd k=0.316 lim=0.70 peak=0.057; middleBase k=1.732 lim=2.50 peak=0.064; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.034; ringBase k=1.732 lim=2.50 peak=0.096; ringMiddle k=0.949 lim=1.50 peak=0.116; ringEnd k=0.316 lim=0.70 peak=0.062; pinkyBase k=1.732 lim=2.50 peak=0.300; pinkyMiddle k=0.949 lim=1.50 peak=0.187; pinkyEnd k=0.316 lim=0.70 peak=0.077; thumbBase k=3.873 lim=4.00 peak=1.044; thumbEnd k=0.949 lim=1.50 peak=0.002; wristFlex k=3.16 lim=6.0 peak=1.517; wristPron k=3.16 lim=6.0 peak=0.720; controller: indexBase stop=-55.5 preload->-67.5 angle=-56.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.0 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-31.0 touch=1; middleBase nocontact cap->-60.0 angle=-58.9 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.0 touch=0; middleEnd stop=-29.1 preload->-41.1 angle=-31.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.3 preload->-42.3 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.1 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.5 touch=1; thumbBase stop=-1.7 preload->10.3 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=6 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 52, 41) indexEnd=(98, 62, 45) middleBase=(127, 37, 12) middleMiddle=(112, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 66, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
7,lift,envelope,0.600,3.00,0,1,success,620,99,98,98,121,500,3,23.42,5.89,5,1,0,0.0855,1.60,2006,0,1.182,0.00,0.200,1.00,0.00,penWindow n=473 max=1.76mm p95=1.70mm median=1.55mm wall=0.4s stepsPerSec=1661 torque: indexBase k=1.732 lim=2.50 peak=0.287; indexMiddle k=0.949 lim=1.50 peak=0.174; indexEnd k=0.316 lim=0.70 peak=0.058; middleBase k=1.732 lim=2.50 peak=0.068; middleMiddle k=0.949 lim=1.50 peak=0.060; middleEnd k=0.316 lim=0.70 peak=0.033; ringBase k=1.732 lim=2.50 peak=0.139; ringMiddle k=0.949 lim=1.50 peak=0.115; ringEnd k=0.316 lim=0.70 peak=0.059; pinkyBase k=1.732 lim=2.50 peak=0.315; pinkyMiddle k=0.949 lim=1.50 peak=0.185; pinkyEnd k=0.316 lim=0.70 peak=0.075; thumbBase k=3.873 lim=4.00 peak=1.031; thumbEnd k=0.949 lim=1.50 peak=0.002; wristFlex k=3.16 lim=6.0 peak=2.008; wristPron k=3.16 lim=6.0 peak=0.882; controller: indexBase stop=-55.5 preload->-67.5 angle=-56.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.0 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-31.0 touch=1; middleBase nocontact cap->-60.0 angle=-58.9 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.0 touch=0; middleEnd stop=-29.1 preload->-41.1 angle=-31.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.3 preload->-42.3 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.1 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.5 touch=1; thumbBase stop=-1.7 preload->10.3 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=6 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 52, 41) indexEnd=(98, 62, 45) middleBase=(127, 37, 12) middleMiddle=(112, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 66, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
8,lift,envelope,0.600,3.00,1,1,success,620,99,98,98,121,500,3,23.47,5.89,6,1,0,0.0858,1.60,1926,0,1.324,0.00,0.200,1.00,0.00,penWindow n=473 max=2.06mm p95=1.99mm median=1.99mm wall=0.4s stepsPerSec=1664 torque: indexBase k=1.732 lim=2.50 peak=0.276; indexMiddle k=0.949 lim=1.50 peak=0.174; indexEnd k=0.316 lim=0.70 peak=0.054; middleBase k=1.732 lim=2.50 peak=0.048; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.032; ringBase k=1.732 lim=2.50 peak=0.093; ringMiddle k=0.949 lim=1.50 peak=0.117; ringEnd k=0.316 lim=0.70 peak=0.061; pinkyBase k=1.732 lim=2.50 peak=0.281; pinkyMiddle k=0.949 lim=1.50 peak=0.184; pinkyEnd k=0.316 lim=0.70 peak=0.078; thumbBase k=3.873 lim=4.00 peak=0.962; thumbEnd k=0.949 lim=1.50 peak=0.001; wristFlex k=3.16 lim=6.0 peak=1.283; wristPron k=3.16 lim=6.0 peak=0.562; controller: indexBase stop=-55.5 preload->-67.5 angle=-56.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.0 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-31.0 touch=1; middleBase nocontact cap->-60.0 angle=-58.9 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.0 touch=0; middleEnd stop=-29.1 preload->-41.1 angle=-31.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.3 preload->-42.3 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.1 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.5 touch=1; thumbBase stop=-1.7 preload->10.3 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=6 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 52, 41) indexEnd=(98, 62, 45) middleBase=(127, 37, 12) middleMiddle=(112, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 66, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
9,lift,envelope,0.600,3.00,2,1,success,620,99,98,98,121,500,3,25.74,5.89,5,1,0,0.0855,1.72,2501,0,1.158,0.00,0.200,1.00,0.00,penWindow n=473 max=2.96mm p95=2.94mm median=2.92mm wall=0.4s stepsPerSec=1609 torque: indexBase k=1.732 lim=2.50 peak=0.291; indexMiddle k=0.949 lim=1.50 peak=0.178; indexEnd k=0.316 lim=0.70 peak=0.063; middleBase k=1.732 lim=2.50 peak=0.127; middleMiddle k=0.949 lim=1.50 peak=0.069; middleEnd k=0.316 lim=0.70 peak=0.035; ringBase k=1.732 lim=2.50 peak=0.146; ringMiddle k=0.949 lim=1.50 peak=0.122; ringEnd k=0.316 lim=0.70 peak=0.063; pinkyBase k=1.732 lim=2.50 peak=0.294; pinkyMiddle k=0.949 lim=1.50 peak=0.188; pinkyEnd k=0.316 lim=0.70 peak=0.085; thumbBase k=3.873 lim=4.00 peak=1.000; thumbEnd k=0.949 lim=1.50 peak=0.002; wristFlex k=3.16 lim=6.0 peak=2.097; wristPron k=3.16 lim=6.0 peak=0.893; controller: indexBase stop=-55.5 preload->-67.5 angle=-56.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.0 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-31.0 touch=1; middleBase nocontact cap->-60.0 angle=-58.9 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.0 touch=0; middleEnd stop=-29.1 preload->-41.1 angle=-31.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.3 preload->-42.3 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.1 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.5 touch=1; thumbBase stop=-1.7 preload->10.3 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=6 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 52, 41) indexEnd=(98, 62, 45) middleBase=(127, 37, 12) middleMiddle=(112, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 66, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
10,lift,envelope,0.600,4.00,0,1,success,620,99,98,98,121,500,3,25.95,5.89,5,1,0,0.0873,1.77,2050,0,1.083,0.00,0.200,1.00,0.00,penWindow n=473 max=1.77mm p95=1.56mm median=1.55mm wall=0.4s stepsPerSec=1530 torque: indexBase k=1.732 lim=2.50 peak=0.316; indexMiddle k=0.949 lim=1.50 peak=0.180; indexEnd k=0.316 lim=0.70 peak=0.053; middleBase k=1.732 lim=2.50 peak=0.105; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.032; ringBase k=1.732 lim=2.50 peak=0.181; ringMiddle k=0.949 lim=1.50 peak=0.119; ringEnd k=0.316 lim=0.70 peak=0.055; pinkyBase k=1.732 lim=2.50 peak=0.375; pinkyMiddle k=0.949 lim=1.50 peak=0.200; pinkyEnd k=0.316 lim=0.70 peak=0.073; thumbBase k=3.873 lim=4.00 peak=0.941; thumbEnd k=0.949 lim=1.50 peak=0.002; wristFlex k=3.16 lim=6.0 peak=0.936; wristPron k=3.16 lim=6.0 peak=1.372; controller: indexBase stop=-55.5 preload->-67.5 angle=-56.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.0 touch=0; indexEnd stop=-30.1 preload->-42.1 angle=-31.0 touch=1; middleBase nocontact cap->-60.0 angle=-58.9 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.0 touch=0; middleEnd stop=-29.1 preload->-41.1 angle=-31.7 touch=1; ringBase nocontact cap->-60.0 angle=-56.2 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-30.3 preload->-42.3 angle=-28.5 touch=1; pinkyBase stop=-41.0 preload->-53.0 angle=-39.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-43.1 touch=0; pinkyEnd stop=-30.2 preload->-42.2 angle=-26.5 touch=1; thumbBase stop=-1.7 preload->10.3 angle=-1.7 touch=1; thumbEnd stop=0.9 preload->12.9 angle=12.9 touch=0; palm=yes contacts=6 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 52, 41) indexEnd=(98, 62, 45) middleBase=(127, 37, 12) middleMiddle=(112, 59, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(113, 56, -10) ringEnd=(95, 66, -7) pinkyBase=(115, 20, -38) pinkyMiddle=(117, 37, -38) pinkyEnd=(108, 54, -37) thumbBase=(43, 45, 46) thumbEnd=(83, 82, 49) palmFace(out mm)=10
