trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.020,0.00,0,0,drop,173,-1,151,151,-1,0,0,0.00,0.20,0,0,0,0.0001,4.09,1936,0,0.254,0.00,0.000,0.00,-0.20,torque: indexBase k=0.648 lim=2.50 peak=0.321; indexMiddle k=1.152 lim=1.50 peak=0.123; indexEnd k=0.605 lim=0.70 peak=0.033; middleBase k=4000.000 lim=4.00 peak=0.808; middleMiddle k=2.318 lim=1.50 peak=0.341; middleEnd k=0.157 lim=0.70 peak=0.031; ringBase k=0.849 lim=2.50 peak=0.341; ringMiddle k=4000.000 lim=4.00 peak=0.224; ringEnd k=0.160 lim=0.70 peak=0.044; pinkyBase k=5.527 lim=2.50 peak=0.027; pinkyMiddle k=0.534 lim=1.50 peak=0.097; pinkyEnd k=0.468 lim=0.70 peak=0.004; thumbBase k=4.047 lim=4.00 peak=0.483; thumbEnd k=0.463 lim=1.50 peak=0.025; wristFlex k=7.68 lim=6.0 peak=0.571; wristPron k=9.53 lim=6.0 peak=0.221;
2,lift,envelope,0.020,0.00,1,0,drop,221,-1,150,150,-1,0,0,0.00,0.20,3,1,0,0.0000,0.38,1989,0,0.231,0.00,0.000,0.00,-0.20,torque: indexBase k=0.700 lim=2.50 peak=0.410; indexMiddle k=1.951 lim=1.50 peak=0.199; indexEnd k=0.273 lim=0.70 peak=0.023; middleBase k=4000.000 lim=4.00 peak=0.030; middleMiddle k=4000.000 lim=4.00 peak=0.087; middleEnd k=0.512 lim=0.70 peak=0.046; ringBase k=4.723 lim=2.50 peak=0.132; ringMiddle k=4000.000 lim=4.00 peak=0.004; ringEnd k=4000.000 lim=4.00 peak=0.011; pinkyBase k=4000.000 lim=4.00 peak=0.106; pinkyMiddle k=0.491 lim=1.50 peak=0.042; pinkyEnd k=0.555 lim=0.70 peak=0.000; thumbBase k=1.201 lim=4.00 peak=0.539; thumbEnd k=0.855 lim=1.50 peak=0.031; wristFlex k=4.88 lim=6.0 peak=0.629; wristPron k=3.75 lim=6.0 peak=0.481;
3,lift,envelope,0.050,0.00,0,0,drop,174,-1,150,150,-1,0,0,0.00,0.49,0,0,1,0.0001,0.92,1934,0,0.287,0.00,0.000,0.00,-0.20,torque: indexBase k=4.238 lim=2.50 peak=0.407; indexMiddle k=1.244 lim=1.50 peak=0.264; indexEnd k=0.137 lim=0.70 peak=0.033; middleBase k=1.329 lim=2.50 peak=0.010; middleMiddle k=1.243 lim=1.50 peak=0.004; middleEnd k=4000.000 lim=4.00 peak=0.005; ringBase k=0.607 lim=2.50 peak=0.285; ringMiddle k=1.458 lim=1.50 peak=0.003; ringEnd k=0.100 lim=0.70 peak=0.001; pinkyBase k=3.730 lim=2.50 peak=0.014; pinkyMiddle k=0.614 lim=1.50 peak=0.084; pinkyEnd k=0.120 lim=0.70 peak=0.000; thumbBase k=4.786 lim=4.00 peak=0.419; thumbEnd k=1.041 lim=1.50 peak=0.150; wristFlex k=9.03 lim=6.0 peak=0.566; wristPron k=9.86 lim=6.0 peak=0.291;
4,lift,envelope,0.050,0.00,1,0,drop,182,-1,150,150,-1,0,0,0.00,0.49,0,0,0,0.0001,4.27,3440,0,0.365,0.00,0.000,0.00,-0.20,torque: indexBase k=0.725 lim=2.50 peak=0.323; indexMiddle k=4000.000 lim=4.00 peak=0.254; indexEnd k=0.225 lim=0.70 peak=0.048; middleBase k=0.683 lim=2.50 peak=0.685; middleMiddle k=0.768 lim=1.50 peak=0.431; middleEnd k=0.117 lim=0.70 peak=0.005; ringBase k=4000.000 lim=4.00 peak=0.207; ringMiddle k=4000.000 lim=4.00 peak=0.103; ringEnd k=4000.000 lim=4.00 peak=0.034; pinkyBase k=2.038 lim=2.50 peak=0.120; pinkyMiddle k=0.741 lim=1.50 peak=0.077; pinkyEnd k=0.629 lim=0.70 peak=0.019; thumbBase k=2.194 lim=4.00 peak=0.809; thumbEnd k=1.635 lim=1.50 peak=0.023; wristFlex k=4.24 lim=6.0 peak=0.595; wristPron k=4.03 lim=6.0 peak=0.603;
5,lift,envelope,0.100,0.00,0,0,drop,229,-1,150,150,-1,0,0,0.00,0.98,1,0,0,0.0000,2.68,1786,0,0.070,0.00,0.000,0.00,-0.20,torque: indexBase k=0.719 lim=2.50 peak=0.174; indexMiddle k=1.822 lim=1.50 peak=0.005; indexEnd k=0.345 lim=0.70 peak=0.041; middleBase k=4000.000 lim=4.00 peak=0.600; middleMiddle k=2.586 lim=1.50 peak=0.416; middleEnd k=0.240 lim=0.70 peak=0.114; ringBase k=0.511 lim=2.50 peak=0.014; ringMiddle k=1.137 lim=1.50 peak=0.001; ringEnd k=0.195 lim=0.70 peak=0.000; pinkyBase k=1.028 lim=2.50 peak=0.200; pinkyMiddle k=2.591 lim=1.50 peak=0.124; pinkyEnd k=0.723 lim=0.70 peak=0.031; thumbBase k=1.279 lim=4.00 peak=0.347; thumbEnd k=0.916 lim=1.50 peak=0.007; wristFlex k=6.80 lim=6.0 peak=1.013; wristPron k=1.49 lim=6.0 peak=0.195;
6,lift,envelope,0.100,0.00,1,0,drop,189,-1,150,150,-1,0,0,0.00,0.98,0,0,0,0.0001,2.62,2555,0,0.057,0.00,0.000,0.00,-0.20,torque: indexBase k=3.157 lim=2.50 peak=0.578; indexMiddle k=4000.000 lim=4.00 peak=0.209; indexEnd k=0.313 lim=0.70 peak=0.055; middleBase k=2.194 lim=2.50 peak=0.037; middleMiddle k=0.871 lim=1.50 peak=0.121; middleEnd k=4000.000 lim=4.00 peak=0.067; ringBase k=3.409 lim=2.50 peak=0.156; ringMiddle k=0.657 lim=1.50 peak=0.126; ringEnd k=0.245 lim=0.70 peak=0.035; pinkyBase k=1.741 lim=2.50 peak=0.244; pinkyMiddle k=0.369 lim=1.50 peak=0.124; pinkyEnd k=4000.000 lim=4.00 peak=0.013; thumbBase k=5.367 lim=4.00 peak=0.170; thumbEnd k=0.960 lim=1.50 peak=0.013; wristFlex k=1.35 lim=6.0 peak=1.227; wristPron k=3.14 lim=6.0 peak=0.166;
DONE
