trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.600,0.00,0,0,drop,171,-1,151,151,-1,0,0,0.00,5.89,0,0,0,0.0001,2.02,8344,0,0.056,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.559; indexMiddle k=0.949 lim=1.50 peak=0.262; indexEnd k=0.316 lim=0.70 peak=0.079; middleBase k=1.732 lim=2.50 peak=0.666; middleMiddle k=0.949 lim=1.50 peak=0.261; middleEnd k=0.316 lim=0.70 peak=0.049; ringBase k=1.732 lim=2.50 peak=0.485; ringMiddle k=0.949 lim=1.50 peak=0.231; ringEnd k=0.316 lim=0.70 peak=0.092; pinkyBase k=1.732 lim=2.50 peak=0.201; pinkyMiddle k=0.949 lim=1.50 peak=0.105; pinkyEnd k=0.316 lim=0.70 peak=0.018; thumbBase k=3.873 lim=4.00 peak=0.928; thumbEnd k=0.949 lim=1.50 peak=0.548; wristFlex k=3.16 lim=6.0 peak=0.383; wristPron k=3.16 lim=6.0 peak=0.637;
2,lift,envelope,0.600,0.00,1,0,drop,172,-1,150,150,-1,0,0,0.00,5.89,0,0,0,0.0004,1.99,10003,0,0.138,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.561; indexMiddle k=0.949 lim=1.50 peak=0.280; indexEnd k=0.316 lim=0.70 peak=0.074; middleBase k=1.732 lim=2.50 peak=0.616; middleMiddle k=0.949 lim=1.50 peak=0.233; middleEnd k=0.316 lim=0.70 peak=0.036; ringBase k=1.732 lim=2.50 peak=0.426; ringMiddle k=0.949 lim=1.50 peak=0.236; ringEnd k=0.316 lim=0.70 peak=0.085; pinkyBase k=1.732 lim=2.50 peak=0.273; pinkyMiddle k=0.949 lim=1.50 peak=0.182; pinkyEnd k=0.316 lim=0.70 peak=0.010; thumbBase k=3.873 lim=4.00 peak=1.004; thumbEnd k=0.949 lim=1.50 peak=0.544; wristFlex k=3.16 lim=6.0 peak=0.533; wristPron k=3.16 lim=6.0 peak=0.634;
DONE
