episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
20,6020,1,success,2772,2272,2273,500,500,3,10.09,4,3,1,1,0,1.082,1.00,1.00,3.11,0.491,0.9012,0.10,0.200,1.00,0.00,0.960,0.998,0.852,1.088,0.931,0.929,0.798,0.649,1.308,12,11110111110111,0.999,10.0,125,59,380,380,0,sampled,0,10320,0,1
21,6021,0,drop,217,166,167,50,500,0,0.00,3,2,1,0,0,0.322,1.00,1.00,1.89,0.326,0.7738,0.10,0.200,0.00,-0.20,1.060,0.903,0.876,1.189,1.185,1.148,1.334,0.681,1.101,14,11111111111111,0.962,10.0,306,295,337,-1,0,sampled,0,13092,2,1
22,6022,1,success,586,79,87,500,500,3,9.95,6,2,1,1,0,0.718,1.00,1.00,7.31,1.808,0.8105,0.10,0.200,1.00,0.00,0.945,0.802,1.059,0.852,1.019,0.993,1.504,0.676,1.349,12,11011111011111,0.922,10.0,437,154,287,437,0,sampled,0,13309,9,1
23,6023,1,success,597,88,98,500,500,3,2.85,3,1,1,1,0,0.213,1.00,1.00,3.08,2.745,0.9386,0.10,0.200,1.00,0.00,1.028,1.021,1.059,1.106,1.136,0.815,1.390,0.667,1.200,11,11011110011111,1.008,10.0,479,462,436,479,0,sampled,0,13895,5,1
24,6024,1,success,575,69,76,500,500,3,7.52,6,3,1,1,0,0.544,1.00,1.00,3.35,3.836,0.9005,0.10,0.200,1.00,0.00,1.012,0.981,0.903,1.060,1.011,1.107,1.992,0.580,1.208,9,00111111110010,0.993,10.0,326,258,318,326,0,sampled,0,14492,2,1
25,6025,1,success,597,88,98,500,500,3,13.96,6,3,1,1,0,1.216,1.00,1.00,3.40,1.059,0.9263,0.10,0.200,1.00,0.00,0.972,0.987,0.907,0.916,0.971,1.080,0.992,0.668,1.152,12,11101110111111,0.995,10.0,446,319,71,446,0,sampled,0,15067,7,1
26,6026,1,success,582,78,83,500,500,3,4.84,4,3,1,1,0,0.363,1.00,1.00,2.72,0.330,0.9020,0.10,0.200,1.00,0.00,0.987,1.194,0.924,0.839,0.894,1.086,1.367,0.616,1.176,12,11011111111101,1.077,10.0,460,318,425,460,0,sampled,0,15664,4,1
27,6027,1,success,611,107,112,500,500,3,10.49,4,2,1,0,0,0.812,1.00,1.00,6.61,2.628,0.8630,0.10,0.200,1.00,0.00,1.066,1.180,0.908,1.108,1.003,1.132,1.387,0.760,1.424,10,10110110101111,1.071,10.0,144,151,210,210,0,sampled,0,16246,6,1
28,6028,1,success,588,83,89,500,500,3,3.19,5,2,1,1,0,0.266,1.00,1.00,2.19,1.023,0.9152,0.10,0.200,1.00,0.00,0.993,0.938,1.029,0.804,1.092,1.104,1.080,0.698,1.392,12,11011111111110,0.975,10.0,257,451,489,489,0,sampled,0,16857,7,1
29,6029,1,success,583,76,84,500,500,3,7.96,6,3,1,1,0,0.594,1.00,1.00,1.81,1.536,0.8532,0.10,0.200,1.00,0.00,0.943,0.894,0.958,0.916,0.836,1.110,0.833,0.624,1.362,10,11101110110011,0.958,10.0,294,442,436,442,0,sampled,0,17445,5,1
30,6030,1,success,592,85,93,500,500,3,17.09,6,3,1,1,0,1.324,1.00,1.00,2.17,2.859,0.8312,0.10,0.200,1.00,0.00,0.976,0.893,1.041,1.157,0.947,0.843,1.127,0.681,1.179,10,11101011110110,0.957,10.0,313,147,405,405,0,sampled,0,18028,8,1
31,6031,1,success,601,98,102,500,500,3,6.00,4,2,1,1,0,0.450,1.00,1.00,2.75,1.865,0.9004,0.10,0.200,1.00,0.00,0.921,1.021,0.978,0.838,0.940,0.825,1.288,0.687,1.313,11,01101111110111,1.008,10.0,415,105,266,415,0,sampled,0,18620,0,1
32,6032,1,success,628,117,129,500,500,3,14.61,6,3,1,1,0,1.007,1.00,1.00,1.76,2.303,0.9197,0.10,0.200,1.00,0.00,1.030,1.169,1.171,0.950,1.048,0.811,1.532,0.727,1.357,10,10111111110010,1.067,10.0,22,41,415,415,0,sampled,0,19221,1,1
33,6033,1,success,607,104,108,500,500,3,3.73,5,3,1,1,0,0.298,1.00,1.00,1.49,0.261,0.6154,0.10,0.200,1.00,0.00,0.980,0.871,0.894,1.121,1.190,0.826,0.903,0.683,1.282,12,11111111111001,0.949,10.0,327,9,182,327,0,sampled,0,19849,9,1
34,6034,1,success,590,87,91,500,500,3,8.80,3,2,1,1,0,0.666,1.00,1.00,2.82,1.344,0.9171,0.10,0.200,1.00,0.00,1.028,1.169,0.854,1.100,0.820,1.198,1.743,0.656,1.226,10,11101110110011,1.067,10.0,218,481,9,481,0,sampled,0,20456,6,1
35,6035,1,success,584,69,85,500,500,3,2.65,3,1,1,1,0,0.224,1.00,1.00,2.48,1.992,0.9017,0.10,0.200,1.00,0.00,0.920,0.821,0.938,0.979,0.868,0.994,1.832,0.729,1.285,9,11101001110110,0.929,10.0,411,375,334,411,0,sampled,0,21046,6,1
36,6036,1,success,595,81,96,500,500,3,6.63,6,2,1,1,0,0.499,1.00,1.00,4.75,0.293,0.8209,0.10,0.200,1.00,0.00,0.988,0.998,0.815,0.990,1.119,1.018,1.750,0.641,1.251,10,11101111011001,0.999,10.0,176,51,406,406,0,sampled,0,21630,0,1
37,6037,1,success,598,87,99,500,500,3,15.72,4,2,1,1,0,1.114,1.00,1.00,3.77,3.132,0.9174,0.10,0.200,1.00,0.00,1.003,1.068,0.908,1.140,0.968,0.934,1.662,0.620,1.169,13,11111111111011,1.027,10.0,385,138,68,385,0,sampled,0,22225,5,1
38,6038,1,success,588,83,89,500,500,3,5.42,4,2,1,1,0,0.375,1.00,1.00,3.71,2.693,0.8758,0.10,0.200,1.00,0.00,1.016,0.930,1.022,0.895,1.194,1.036,1.502,0.634,1.077,11,11111111100011,0.972,10.0,409,286,209,409,0,sampled,0,22823,3,1
39,6039,1,success,588,85,89,500,500,3,12.07,4,3,1,1,0,0.836,1.00,1.00,2.26,0.960,0.8060,0.10,0.200,1.00,0.00,1.002,1.029,1.053,1.081,0.956,0.891,1.400,0.665,1.091,12,11111111110011,1.012,10.0,438,72,153,438,0,sampled,0,23411,1,1
40,6040,1,success,604,80,92,500,500,3,3.31,3,2,1,1,0,0.249,1.00,1.00,3.06,2.194,0.8408,0.10,0.200,1.00,0.00,1.014,0.973,1.001,0.968,1.074,1.055,1.230,0.756,1.368,11,11010111110111,0.989,10.0,38,326,287,326,0,sampled,0,23999,9,1
41,6041,1,success,584,76,85,500,500,3,7.59,4,2,1,1,0,0.556,1.00,1.00,3.46,1.526,0.9055,0.10,0.200,1.00,0.00,1.056,1.148,1.139,0.954,1.063,0.974,1.337,0.653,1.256,11,11111010111011,1.059,10.0,101,207,300,300,0,sampled,0,24603,3,1
42,6042,1,success,597,88,98,500,500,3,19.88,5,3,1,1,0,1.389,1.00,1.00,3.73,1.982,0.9116,0.10,0.200,1.00,0.00,0.980,1.180,0.918,0.935,1.023,0.843,0.911,0.734,1.154,10,10110011111110,1.071,10.0,67,27,29,67,0,sampled,0,25187,7,1
43,6043,1,success,590,81,91,500,500,3,6.01,5,3,1,1,0,0.413,1.00,1.00,2.20,1.349,0.9170,0.10,0.200,1.00,0.00,1.025,0.828,1.118,1.015,1.156,1.005,0.830,0.560,1.193,12,10111111111110,0.932,10.0,473,474,14,474,0,sampled,0,25784,4,1
44,6044,1,success,662,152,163,500,500,3,13.13,4,2,1,1,0,0.922,1.00,1.00,3.90,2.539,0.9093,0.10,0.200,1.00,0.00,1.005,0.866,1.115,0.905,1.090,1.050,1.329,0.640,1.152,11,11101111011110,0.947,10.0,95,86,423,423,0,sampled,0,26374,4,1
45,6045,1,success,581,71,82,500,500,3,3.33,5,3,1,0,0,0.276,1.00,1.00,4.19,3.441,0.9209,0.10,0.200,1.00,0.00,0.948,0.887,1.010,0.906,0.904,1.035,2.383,0.658,0.988,12,11110111111110,0.955,10.0,399,150,493,493,0,sampled,0,27036,6,1
46,6046,1,success,606,98,107,500,500,3,9.91,3,2,1,1,0,0.697,1.00,1.00,3.36,1.264,0.8534,0.10,0.200,1.00,0.00,1.052,1.113,1.104,0.856,1.171,1.016,1.115,0.737,1.187,10,10111010011111,1.045,10.0,365,120,237,365,0,sampled,0,27617,7,1
47,6047,1,success,618,90,119,500,500,3,2.57,7,3,1,1,0,0.206,1.00,1.00,8.40,4.135,0.7863,0.10,0.200,1.00,0.00,1.062,0.973,1.166,0.988,1.042,1.142,1.877,0.644,1.265,8,00111000111011,0.989,10.0,59,91,396,396,0,sampled,0,28223,3,1
