arm,idx,phase,key,feasible,objective,pass_given_hold,success_rate,palm_contact_rate,mean_contacts,lenMean,lenThumb,active,mask,omegaActiveMean,zetaActiveMean,inertiaActiveMean,oracle_gate_step,oracle_max_contacts,oracle_push_mm,acq,ei,p_feasible,origin
random,38,,4f03a97fe9ab,False,None,None,None,None,None,0.9757,0.971,12,10111111101111,23.94,0.710,1.047,-1,5,18.000001907348633,None,None,None,
random,39,,be5b5ade9cfd,False,None,None,None,None,None,0.9943,0.888,8,01101011001101,25.54,0.536,1.331,-1,3,39.9999885559082,None,None,None,
random,40,,a89ac08beb1e,False,None,None,None,None,None,1.0405,1.159,7,01010001100111,21.36,0.682,1.477,-1,2,1.0,None,None,None,
random,41,,d1103ef07f43,True,0.7833333333333333,0.7833333333333333,1,0,8.1,1.0657,1.183,14,11111111111111,27.50,0.656,1.239,136,7,0.0,None,None,None,
random,42,,421edcc6d3be,False,None,None,None,None,None,1.0431,1.159,9,11101100110101,23.32,0.661,1.293,-1,4,28.000001907348633,None,None,None,
random,43,,7b99561d9972,True,0.9,0.9,1,0,7.75,1.0171,1.139,13,11111111011111,23.19,0.696,1.546,33,8,5.000000476837158,None,None,None,
random,44,,5ca36a3fbda9,False,None,None,None,None,None,0.9878,0.970,11,11111001111101,24.11,0.631,1.409,-1,4,39.9999885559082,None,None,None,
random,45,,469330e6111c,False,None,None,None,None,None,0.9712,0.825,10,11111010101110,25.85,0.653,1.347,-1,5,22.000001907348633,None,None,None,
random,46,,d88739f0b07e,True,0.4166666666666667,0.43859649122807015,0.95,0,6.315789473684211,0.9870,1.013,10,11101111100011,27.62,0.743,1.132,89,7,15.000001907348633,None,None,None,
random,47,,d09f4917ade3,True,0.8833333333333333,0.8833333333333333,1,0,6.7,0.9290,0.811,11,10111010111111,28.40,0.671,1.432,69,7,30.000003814697266,None,None,None,
random,48,,f5ad8e486bcf,True,0.8,0.8,1,0,8.45,0.9617,0.860,13,11011111111111,30.16,0.658,1.169,67,6,23.000001907348633,None,None,None,
random,49,,6754dd4a5c80,False,None,None,None,None,None,0.9527,0.878,11,01011111111011,24.14,0.658,1.319,-1,5,24.000001907348633,None,None,None,
