episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode
21,6021,1,success,591,81,92,500,500,3,4.05,7,2,1,1,0,0.334,1.00,1.00,1.47,3.500,0.9388,0.10,0.200,1.00,0.00,0.964,1.134,1.042,0.831,0.918,0.897,1.225,0.685,1.233,11,01111110111110,1.053,10.0,193,344,11,344,0,deterministic
22,6022,1,success,598,87,99,500,500,3,3.28,5,2,1,1,0,0.270,1.00,1.00,4.15,1.958,0.9206,0.10,0.200,1.00,0.00,1.038,1.087,1.131,1.027,0.913,1.033,1.614,0.703,1.105,10,10111011001111,1.034,10.0,475,445,330,475,0,deterministic
23,6023,1,success,580,73,81,500,500,3,19.28,6,2,1,1,0,1.325,1.00,1.00,3.72,1.662,0.8830,0.10,0.200,1.00,0.00,1.126,1.197,0.948,1.193,1.143,1.147,1.526,0.645,1.394,13,11111111111110,1.078,10.0,29,458,269,458,0,deterministic
24,6024,1,success,590,76,91,500,500,3,2.62,5,3,1,1,0,0.229,1.00,1.00,3.32,2.767,0.9351,0.10,0.200,1.00,0.00,0.932,0.947,0.833,0.831,1.054,0.995,1.373,0.647,1.333,12,10111011111111,0.979,10.0,83,487,283,487,0,deterministic
25,6025,1,success,573,66,74,500,500,3,2.95,7,3,1,1,0,0.252,1.00,1.00,3.04,0.962,0.8532,0.10,0.200,1.00,0.00,0.981,0.803,1.014,0.831,1.128,1.131,0.994,0.676,1.495,8,00100111011110,0.922,10.0,242,470,273,470,0,deterministic
26,6026,1,success,596,92,97,500,500,3,19.07,7,2,1,1,0,1.307,1.00,1.00,2.68,1.003,0.9231,0.10,0.200,1.00,0.00,1.047,0.941,1.185,1.195,0.947,0.969,1.112,0.663,1.193,10,11111001010111,0.977,10.0,364,417,56,417,0,deterministic
27,6027,1,success,604,91,105,500,500,3,13.69,7,3,1,1,0,1.204,1.00,1.00,2.52,3.214,0.9140,0.10,0.200,1.00,0.00,1.081,1.140,1.164,0.938,0.999,1.163,1.685,0.705,1.289,9,00001111111110,1.055,10.0,225,428,485,485,0,deterministic
28,6028,1,success,618,111,119,500,500,3,13.38,5,3,1,1,1,1.437,1.00,1.00,2.11,0.442,0.9018,0.10,0.200,1.00,0.00,1.072,1.189,1.173,0.951,1.113,0.932,1.101,0.631,1.261,10,11010111111001,1.075,10.0,228,402,115,402,0,deterministic
29,6029,1,success,587,80,88,500,500,3,7.24,3,2,1,1,0,0.501,1.00,1.00,3.11,0.508,0.8474,0.10,0.200,1.00,0.00,1.001,0.934,1.077,0.925,1.089,0.980,1.319,0.594,1.217,11,01111110111101,0.974,10.0,474,323,333,474,0,deterministic
30,6030,1,success,593,84,94,500,500,3,18.34,5,2,1,1,0,1.327,1.00,1.00,2.99,2.406,0.9313,0.10,0.200,1.00,0.00,1.032,0.978,0.984,1.176,1.014,1.006,1.432,0.713,1.212,11,01110111011111,0.991,10.0,62,364,138,364,0,deterministic
31,6031,1,success,578,75,79,500,500,3,4.00,5,3,1,1,0,0.309,1.00,1.00,1.42,1.017,0.9159,0.10,0.200,1.00,0.00,0.997,1.007,1.054,0.921,1.153,0.851,1.307,0.616,1.400,13,11011111111111,1.003,10.0,181,64,102,181,0,deterministic
32,6032,1,success,593,78,94,500,500,3,5.57,5,2,1,1,0,0.400,1.00,1.00,3.55,2.318,0.9110,0.10,0.200,1.00,0.00,1.128,1.069,1.091,1.104,1.189,1.189,1.435,0.590,1.148,11,11111010011111,1.027,10.0,309,87,54,309,0,deterministic
